rate_hits,cycles_train,cycles_attack
0.994,3.61573,230.612
0.9996,3.43832,232.988
0.9996,3.44611,235.569
0.9995,3.4311,215.51
0.9996,3.44607,229.153
0.9994,3.43891,213.413
0.9996,3.45171,212.551
0.9996,3.43301,235.988
0.9995,3.43749,232.388
0.9996,3.43174,215.989
0.9995,3.43737,216.671
0.9998,3.45392,214.416
0.9992,3.43824,211.967
0.9996,3.43356,251.032
0.9845,3.7649,232.521
0.9992,3.4398,235.04
0.9997,3.4403,215.268
0.9996,3.43491,212.991
0.9992,3.43987,231.838
0.9994,3.43624,229.4
0.9998,3.44196,235.027
0.9993,3.44253,215.074
0.9998,3.42743,211.619
0.9994,3.43549,229.274
0.9994,3.43263,215.143
0.9992,3.43089,213.579
0.9998,3.44069,216.445
0.9998,3.44298,230.252
0.9991,3.44073,214.746
0.999,3.48422,231.186
0.9993,3.44449,213.819
0.9995,3.44028,232.311
0.9993,3.44108,211.422
0.9995,3.43191,212.822
0.9996,3.44144,252.37
0.9992,3.45307,234.561
0.9995,3.44564,233.428
0.9997,3.44003,214.217
0.9991,3.43269,231.019
0.9992,3.44441,227.792
0.9993,3.44228,229.376
0.9994,3.43299,231.165
0.9994,3.42813,211.257
0.9978,3.49397,211.491
0.9992,3.43319,214.828
0.9992,3.44411,234.324
0.9995,3.44138,232.688
0.9993,3.43791,211.637
0.9993,3.43698,215.478
0.9998,3.42543,213.423
0.9995,3.43955,229.123
0.9993,3.43945,216.636
0.9996,3.44407,230.746
0.9996,3.4429,230.414
0.9991,3.43753,231.554
0.9996,3.44302,250.078
0.9997,3.44364,212.318
0.9992,3.43742,211.266
0.9986,3.47832,213.885
0.9993,3.42865,214.704
0.9994,3.44255,232.472
0.9997,3.44993,236.531
0.9998,3.44579,234.288
0.9996,3.44159,214.124
0.9998,3.43158,212.395
0.9993,3.43535,213.679
0.9994,3.44282,213.65
0.9992,3.42964,215.113
0.9996,3.44245,230.709
0.9992,3.44411,254.074
0.9997,3.43852,230.428
0.9996,3.42852,250.731
0.9987,3.51424,215.406
0.999,3.43092,233.555
0.9994,3.45503,216.184
0.9989,3.44135,213.135
0.9994,3.43849,215.931
0.9997,3.44116,213.876
0.9995,3.44168,213.495
0.9994,3.44757,214.833
0.9993,3.432,232.519
0.9987,3.43854,215.801
0.9997,3.44464,218.032
0.9994,3.44416,229.547
0.9993,3.42963,213.358
0.9997,3.4323,230.103
0.9995,3.43736,214.238
0.9994,3.43698,230.001
0.9993,3.44359,233.313
0.9998,3.43752,213.664
0.9994,3.4442,213.179
0.9992,3.44689,230.553
0.9992,3.4399,211.89
0.9995,3.45191,228.915
0.9996,3.42977,234.265
0.9995,3.43576,215.656
0.999,3.45865,232.043
0.9996,3.44235,251.968
0.9995,3.45215,235.04
0.9994,3.43108,212.905
0.9999,3.43663,212.135
0.997,3.5605,230.085
0.9994,3.44752,214.849
0.9993,3.43486,231.702
0.9993,3.43864,228.978
0.9995,3.44092,212.987
0.9994,3.43486,213.589
0.9994,3.43637,212.994
0.9997,3.43801,211.504
0.9989,3.43543,227.994
0.9994,3.4289,215.062
