rate_hits,cycles_train,cycles_attack
0.9998,3.2043,247.17
1,3.20369,259.45
1,3.20433,251.524
1,3.20444,261.752
1,3.20327,248.141
1,3.20507,248.677
1,3.20381,259.097
1,3.20319,258.409
1,3.20344,259.529
1,3.20321,260.915
1,3.20289,258.95
0.9999,3.28895,246.691
1,3.20359,252.074
1,3.20663,260.491
1,3.20324,247.573
1,3.20371,261.849
0.9999,3.20299,256.823
1,3.20307,258.248
0.9999,3.20309,246.961
0.9999,3.20281,249.062
1,3.20319,249.122
1,3.20335,248.073
1,3.20231,261.678
1,3.20214,246.771
1,3.20339,258.193
1,3.20244,244.726
0.9992,3.24795,241.107
1,3.20594,247.113
1,3.20273,259.438
0.9999,3.20321,247.412
1,3.20264,250.703
1,3.20322,262.621
1,3.20294,248.271
1,3.2032,259.652
1,3.20253,260.734
1,3.20334,250.444
1,3.20315,249.567
1,3.2026,283.826
1,3.20293,249.388
1,3.20242,258.665
0.9992,3.31558,286.155
0.9999,3.20299,258.496
1,3.20222,253.756
1,3.20261,244.641
1,3.203,260.238
1,3.20294,249.087
1,3.20251,258.299
1,3.20287,256.704
1,3.2029,243.96
1,3.20235,258.394
1,3.20286,248.61
1,3.20299,245.72
1,3.20282,246.87
1,3.20312,248.334
1,3.20291,262.271
0.9991,3.29378,258.996
1,3.20673,244.466
1,3.20279,259.944
1,3.2029,259.975
1,3.20306,244.949
1,3.2035,247.307
1,3.20309,257.901
1,3.20307,249.366
1,3.20286,244.915
1,3.20372,244.682
1,3.20308,245.709
1,3.20292,259.53
1,3.20285,261.002
1,3.2031,258.505
0.9998,3.24736,257.013
1,3.20351,259.553
1,3.20654,245.885
1,3.20339,246.912
1,3.20362,244.145
1,3.20342,248.833
1,3.20304,248.695
1,3.20301,259.947
1,3.20331,262.715
1,3.20279,257.7
0.9999,3.20339,249.272
1,3.20304,260.136
1,3.20267,260.205
1,3.20235,249.233
1,3.20288,256.797
0.9992,3.2421,246.474
1,3.20605,260.885
1,3.20268,247.338
1,3.20297,247.048
0.9999,3.20358,262.903
1,3.20221,245.065
1,3.20282,259.413
1,3.20261,248.361
1,3.20275,246.943
0.9999,3.20272,259.858
1,3.2023,247.986
1,3.20263,241.788
1,3.20273,261.747
1,3.2027,260.658
1,3.20245,248.933
