rate_hits,cycles_train,cycles_attack
1,0,220.752
1,0,237.912
0.9963,0,225.246
0.9999,0,221.989
1,0,221.392
1,0,241.622
1,0,242.293
1,0,240.644
1,0,224.548
1,0,220.61
1,0,220.082
0.9999,0,239.075
1,0,238.949
0.9999,0,226.312
1,0,222.19
1,0,239.009
1,0,223.348
1,0,239.003
0.9996,0,221.558
1,0,240.549
1,0,219.995
1,0,240.479
0.9999,0,239.306
1,0,237.836
1,0,237.692
1,0,255.375
1,0,243.897
1,0,239.823
1,0,223.319
1,0,220.862
0.9999,0,241.875
1,0,243.8
0.9999,0,239.879
1,0,239.835
0.999,0,238.694
0.9998,0,224.776
0.9998,0,221.805
0.9999,0,222.562
0.9999,0,225.233
0.9999,0,222.994
1,0,238.161
1,0,223.449
1,0,222.791
1,0,238.427
1,0,240.26
1,0,238.837
1,0,240.899
1,0,239.246
1,0,238.673
1,0,239.915
1,0,244.263
1,0,222.154
0.9999,0,242.455
1,0,239.193
1,0,225.61
0.9999,0,237.63
0.9999,0,221.582
1,0,245.473
1,0,237.96
1,0,223.242
0.9999,0,223.619
1,0,242.748
1,0,224.064
1,0,243.927
0.9998,0,225.419
1,0,239.512
1,0,223.857
0.9927,0,238.879
1,0,225.546
1,0,239.222
1,0,237.889
1,0,243.389
1,0,221.26
1,0,223.347
1,0,239.128
0.9999,0,238.27
1,0,219.755
1,0,240.892
1,0,244.247
1,0,222.446
1,0,237.561
1,0,226.394
1,0,243.373
0.9997,0,220.394
1,0,238.75
1,0,219.813
1,0,224.945
0.9999,0,225.795
1,0,225.078
1,0,242.083
1,0,222.011
1,0,255.286
1,0,239.309
0.9999,0,238.879
1,0,241.086
1,0,243.061
0.9999,0,227.165
0.9999,0,240.248
1,0,239.547
0.9995,0,221.355
1,0,221.466
0.9999,0,221.507
1,0,240.75
1,0,237.793
1,0,239.71
1,0,240.49
1,0,219.832
1,0,223.56
0.9998,0,243.452
1,0,240.18
0.9999,0,225.32
0.9999,0,240.046
0.9999,0,240.066
1,0,221.96
1,0,220.943
1,0,224.422
0.9981,0,237.923
1,0,239.957
1,0,240.053
0.9999,0,238.313
1,0,223.248
1,0,220.839
1,0,220.451
0.9999,0,240.663
1,0,243.101
1,0,239.296
1,0,238.4
1,0,220.968
1,0,238.544
1,0,221.66
0.9999,0,222.916
1,0,243.663
0.9997,0,220.766
0.9999,0,239.102
0.9999,0,240.915
1,0,220.929
1,0,241.002
1,0,222.801
1,0,224.632
0.9999,0,222.187
1,0,237.406
1,0,242.303
1,0,224.468
1,0,225.46
1,0,237.972
1,0,226.819
0.9999,0,238.896
0.9999,0,240.967
0.9999,0,241.56
1,0,239.391
1,0,239.133
0.9999,0,220.498
1,0,221.922
1,0,240.225
1,0,227.045
1,0,238.307
1,0,221.097
1,0,237.733
1,0,226.216
1,0,222.382
1,0,220.633
1,0,242.486
1,0,219.471
1,0,222.178
1,0,223.514
1,0,225.667
1,0,224.002
0.9999,0,221.587
1,0,239.543
0.9999,0,239.5
1,0,239.744
1,0,238.103
0.9999,0,224.977
1,0,239.061
1,0,242.002
1,0,223.53
1,0,221.581
1,0,239.124
1,0,220.409
0.9999,0,225.675
1,0,221.91
0.9997,0,222.675
1,0,220.796
0.9999,0,222.407
1,0,224.633
1,0,224.892
1,0,237.805
1,0,221.542
1,0,240.791
1,0,240.006
1,0,244.715
1,0,222.896
0.9999,0,239.029
0.9999,0,239.369
1,0,239.919
1,0,222.728
1,0,224.206
0.9971,0,222.539
1,0,238.274
0.9996,0,243.553
1,0,237.298
1,0,240.499
1,0,219.625
1,0,239.904
1,0,221.536
1,0,221.651
1,0,220.365
1,0,223.567
0.9998,0,242.101
1,0,239.653
1,0,238.372
1,0,220.372
0.9999,0,219.545
0.9986,0,239.831
1,0,243.249
0.9999,0,221.221
1,0,242.597
1,0,223.126
1,0,221.427
1,0,225.098
1,0,220.995
1,0,222.367
1,0,237.989
1,0,220.462
1,0,237.856
1,0,253.039
1,0,243.806
1,0,240.415
1,0,219.92
1,0,221.313
1,0,239.102
0.9998,0,252.262
0.9999,0,241.095
1,0,226.612
0.9999,0,239.376
0.9999,0,240.26
0.9999,0,242.679
1,0,239.875
1,0,237.943
0.9999,0,224.953
0.9999,0,237.752
1,0,240.091
1,0,240.467
1,0,226
1,0,223.144
0.9999,0,240.265
0.9994,0,225.493
0.9999,0,243.562
1,0,240.704
1,0,221.425
1,0,221.349
1,0,242.121
1,0,243.455
1,0,220.846
1,0,239.335
0.9999,0,220.097
1,0,223.069
1,0,221.017
1,0,239.381
0.9999,0,224.982
1,0,239.989
1,0,238.93
0.9989,0,236.7
1,0,220.934
1,0,222.194
1,0,240.675
0.9999,0,237.262
1,0,224.07
1,0,242.44
1,0,239.624
1,0,225.125
1,0,241.895
1,0,240.565
1,0,221.402
1,0,242.306
1,0,238.706
1,0,226.09
1,0,238.33
0.9997,0,238.99
1,0,238.9
1,0,220.781
1,0,239.501
0.9999,0,254.96
1,0,224.558
1,0,238.619
1,0,236.556
1,0,225.592
1,0,237.553
1,0,221.442
1,0,243.487
1,0,238.796
1,0,241.323
0.9999,0,221.583
1,0,242.811
1,0,239.105
0.9995,0,225.93
1,0,223.073
1,0,221.863
1,0,223.385
0.9999,0,240.373
1,0,221.402
1,0,239.153
0.9996,0,240.712
1,0,238.545
0.9998,0,245.039
1,0,241.24
1,0,222.03
1,0,240.135
1,0,240.428
1,0,218.663
1,0,253.835
0.9991,0,224.995
1,0,242.601
0.9999,0,256.729
1,0,237.516
1,0,237.965
1,0,221.115
1,0,242.742
1,0,241.663
1,0,220.737
1,0,221.529
1,0,241.547
1,0,223.21
1,0,243.146
1,0,239.647
1,0,224.134
1,0,242.359
0.9996,0,238.19
1,0,238.899
1,0,218.705
1,0,240.357
1,0,218.953
1,0,243.427
1,0,221.379
1,0,226.286
1,0,222.872
1,0,225.755
0.9999,0,221.908
1,0,244.701
1,0,222.858
1,0,238.25
1,0,240.875
1,0,220.316
1,0,240.802
1,0,238.579
0.9999,0,224.79
1,0,221.04
0.9999,0,241.167
1,0,225.444
1,0,224.129
1,0,225.924
1,0,239.502
1,0,244.457
1,0,243.855
1,0,221.896
1,0,224.987
1,0,252.048
1,0,221.359
1,0,222.881
1,0,225.196
0.9975,0,224.252
1,0,222.002
1,0,237.329
1,0,221.653
1,0,220.937
1,0,238.944
1,0,240.037
1,0,220.778
1,0,241.115
1,0,221.462
1,0,242.195
