rate_hits,cycles_leak,cycles_decode,total_time
0.97,1235.78,94504.6,0.0180631
1,1222.95,94152.9,0.0180138
1,1249.8,94127.5,0.0180142
1,1212.41,94252.1,0.0180232
1,1237.24,94291.6,0.0180286
1,1209.79,94188.1,0.0180155
1,1228.86,94141.4,0.0180218
1,1255.86,94122.8,0.0180124
0.99,1233.11,94145.7,0.018012
1,1242.64,94157.7,0.0180146
0.91,1221.27,94125.4,0.0180091
1,1225.44,94157.1,0.0180203
1,1232.56,94168.4,0.0180136
1,1227.32,94156.6,0.0180123
1,1250.85,94107.4,0.0180114
0.87,1227.18,94123.3,0.0180093
1,1245.15,94139.3,0.0180322
1,1236.9,94133,0.018011
1,1251.77,94103.5,0.0180101
1,1261.76,94016.5,0.0180023
1,1254.54,94047.2,0.0180054
1,1250.9,94103.6,0.0180196
1,1226.44,94110.1,0.0180087
1,1246.85,94132.8,0.0180125
1,1214.99,94260.4,0.0180227
1,1228.19,94314.6,0.018031
0.97,1216.14,94224.4,0.0180197
0.88,1216.81,94195,0.0180251
1,1211.89,94188.6,0.018014
0.99,1245.08,94125,0.0180106
1,1216.2,94136.8,0.0180092
1,1239.12,94107.6,0.0180093
1,1262.75,94097.5,0.018044
1,1216.24,94132.4,0.0180081
1,1248.77,94110.1,0.0180093
1,1240.39,94099.3,0.0180078
1,1235.1,94144.4,0.0180128
0,1226.54,94133.7,0.018018
0.9,1226.55,94054.7,0.0180019
1,1244.79,94102.9,0.0180088
1,1228.74,94127.4,0.0180092
1,1235.96,94139.7,0.0180109
1,1236.95,94187.2,0.0180259
1,1234.72,94114.2,0.0180097
0.97,1242.61,94160.4,0.0180139
1,1116.78,94228.5,0.0180079
1,1231.14,94086.8,0.0180061
1,1239.17,94165.2,0.0180141
1,1270.55,94116.9,0.0180319
1,1216.2,94131.7,0.0180089
1,1240.95,94113.3,0.0180101
0.84,1242.72,94082.7,0.0180078
1,1244.17,94097.3,0.018009
1,1243.69,94050.2,0.0180136
1,1232.88,94139.9,0.0180121
0.99,1223.39,94158.4,0.0180133
1,1254.59,94135.1,0.0180132
1,1237.8,94126.9,0.0180116
1,1241.38,94164.8,0.0180233
1,1246.61,94126.5,0.0180123
1,1230.41,94164.8,0.0180135
1,1227.1,94172.4,0.0180139
1,1219.98,94146.2,0.0180116
1,1237.31,94212.6,0.018048
1,1253.73,94117.9,0.0180125
0.92,1235.34,94172.3,0.0180151
1,1225.04,94108.7,0.0180089
0.97,1220.76,94159,0.0180115
1,1233.21,94180.7,0.0180169
0.99,1227.14,94189.5,0.0180268
1,1225.7,94182.8,0.0180162
1,1220.96,94184.6,0.018017
1,1228.73,94134,0.0180112
1,1229.68,94123.6,0.0180091
0.99,1244.73,94167.2,0.0180262
1,1229.68,94147.6,0.0180124
0.99,1224.42,94143.7,0.0180125
1,1171.56,94215.1,0.0180125
1,1220.73,94183.4,0.0180136
1,1260.27,94172.1,0.018038
1,1232.65,94111.2,0.0180101
1,1225.58,94175,0.0180141
1,1251.39,94148.8,0.0180149
1,1247.54,94129.2,0.0180142
1,1232.5,94197.7,0.0180276
1,1234.91,94110.9,0.0180095
1,1232.86,94112.8,0.0180096
1,1245.04,94109.1,0.0180096
0.99,1230.72,94119.1,0.01801
1,1243.54,94104.2,0.0180098
1,1254.97,94255.7,0.0180367
1,1231.03,94195.8,0.0180186
1,1228.26,94141.8,0.0180115
1,1218.73,94316.7,0.0180287
1,1222.3,94297.6,0.0180272
0.98,1271.78,94404.9,0.0180724
1,1259.09,94183.5,0.018019
1,1220.82,94191.3,0.0180161
1,1222.82,94154.3,0.0180132
1,1228.63,94147.2,0.0180125
1,1225.96,94155.5,0.0180225
1,1223.25,94149.9,0.0180115
1,1254.48,94243.3,0.0180267
0.95,1217.96,94182.7,0.0180194
1,1227.39,94185.7,0.0180156
1,1236.01,94162.1,0.0180247
0.83,1227.74,94123,0.0180125
1,1228.58,94092.3,0.0180074
1,1241.78,94159.1,0.0180154
1,1237.36,94129,0.0180116
1,1219.21,94178.6,0.0180134
0.97,1240.84,94228.2,0.0180424
1,1232.2,94121.3,0.0180097
1,1229.14,94167.7,0.0180153
0.95,1214.07,94167.6,0.0180119
1,1121.54,94261.7,0.018012
1,1225.26,94170.6,0.0180212
