rate_hits,cycles_leak,cycles_decode,total_time
0,1239.82,48740.1,0.0129686
0.01,1212.38,48727.8,0.012963
0.01,1232.17,48808.7,0.0129858
0.06,1210.23,48739.6,0.0129657
0.02,1218.08,48741.8,0.0129659
0.03,1227.4,48734.5,0.0129647
0,1222.7,48727.5,0.012965
0,1234.51,48727.7,0.0129693
0.02,1213.32,48750.5,0.0129673
0,1239.98,48792.4,0.012974
0.01,1212.05,48729.6,0.0129631
0,1210.31,48740.6,0.0129637
0.01,1227.44,48737.1,0.0129671
0.01,1215.7,48738.9,0.0129655
0,1210.18,48741.9,0.0129645
0,1229.61,48733,0.0129675
0.01,1215.33,48735,0.0129638
0,1250.13,48835.6,0.0129931
0,1238.41,48739.4,0.0129679
0,1224.34,48727.5,0.0129644
0,1212.3,48732.6,0.012964
0.09,1226.7,48732.3,0.0129661
0.03,1231.62,48738.9,0.0129676
0.02,1097.38,48736.5,0.0129528
0.03,1251.77,48831.2,0.0129922
0.03,1234.78,48736.1,0.0129662
0.09,1227.76,48741,0.0129659
0.02,1214.22,48732.8,0.0129631
0,1231.63,48739.2,0.0129664
0,1216.61,48739.4,0.0129667
0.01,1216.05,48735.1,0.0129635
0.05,1212.42,48879.3,0.0130005
0,1217.36,48745.5,0.0129668
0.02,1219.24,48731.1,0.0129664
0,1211.77,48719.7,0.0129637
0,1221.02,48729.7,0.0129667
0.04,1240.05,48733.7,0.0129665
0,1205.11,48732.1,0.0129629
0,1226.92,48821.5,0.0129862
0.02,1202.21,48737.6,0.0129628
0.03,1207.95,48738.1,0.0129663
0.01,1238.37,48722.3,0.0129658
0.08,1209.3,48736,0.0129641
0.01,1205.05,48740.4,0.012965
0.06,1224.12,48738.5,0.0129666
0,1232.94,48815,0.0129867
0,1208.58,48735,0.0129653
0,1212.57,48732.1,0.0129644
0.09,1232.97,48726.2,0.0129658
0.02,1220.83,48730.1,0.0129648
0.07,1217.94,48742.3,0.012966
0.06,1207.58,48733.3,0.0129644
0,1227.28,48944.2,0.0130221
0.01,1213.76,48742,0.0129662
0,1204.95,48738.5,0.0129658
0,1207.35,48739.5,0.0129634
0,1231.25,48731.9,0.0129668
0,1227.42,48736.7,0.012966
0,1221.52,48739.3,0.0129669
0,1207.24,48834.8,0.0129862
0,1203.02,48739.7,0.0129645
0.04,1210.75,48734.9,0.0129633
0.01,1200.7,48737.2,0.0129634
0,1222.66,48741.3,0.0129667
0,1215.89,48737.6,0.0129649
0,1214.39,48733.2,0.0129646
0.03,1225.97,48734.6,0.0129663
0.02,1215.78,48734.6,0.0129635
0,1222.79,48747.8,0.0129665
0.06,1209.43,48733.9,0.0129643
0,1208.5,48745.8,0.0129648
0,1212.78,48725.3,0.0129625
0.01,1213.09,48739.7,0.0129646
0,1211.62,48738.5,0.0129639
0.08,1215.55,48938.9,0.0130136
0.02,1209.52,48732.8,0.0129641
0.11,1203.4,48737,0.0129637
0,1226,48733.5,0.0129658
0.08,1223.25,48735.2,0.012965
0,1200.59,48737.8,0.0129629
0.1,1214.1,48745.5,0.0129659
0.01,1098.17,48829,0.0129732
0.01,1194.17,48735.6,0.0129617
0.03,1217.23,48727.7,0.0129629
0.04,1203.33,48729.9,0.0129623
0.1,1224.12,48736.7,0.0129648
0.04,1236.97,48732.2,0.0129661
0,1225.08,48730.5,0.0129646
0.08,1217.9,48824.5,0.0129845
0.02,1209.72,48731.1,0.0129641
0.03,1224.49,48739.1,0.0129664
0.05,1218.35,48740.5,0.0129649
0,1191.27,48735.8,0.0129616
0.04,1227.04,48739.2,0.0129661
0.01,1236.81,48737.1,0.012966
0.03,1235.17,49245,0.0130525
0.16,1212.6,48733.7,0.0129646
0.1,1207.32,48731.5,0.012962
0.04,1210.59,48727.9,0.0129649
0.15,1222.58,48737.4,0.0129662
0,1212.01,48730,0.0129635
0.05,1217.79,48735.7,0.012965
