rate_hits,cycles_leak,cycles_decode,total_time
0.72,1168.57,91980.5,0.017773
0.23,1201.26,91723.3,0.0177361
0.58,1176.34,91997.9,0.0177648
0.23,1160.48,91718,0.0177346
0.63,1160.9,92005.5,0.0177635
0.44,1177.2,91816.9,0.0177444
0.73,1197.68,91904.2,0.0177567
0.9,1211.5,92434.8,0.0178172
0.69,1197.1,92142.4,0.0177832
0.53,1174.4,91918,0.0177553
0.5,1226.13,91843.6,0.0177528
0.33,1203.88,91706.6,0.0177546
0.61,1175.09,91954.3,0.0177601
0.56,1150.6,92082,0.0177718
0.79,1190.34,91937.2,0.017758
0.54,1199.61,91807.3,0.0177477
0.75,1175.11,91571.5,0.0177262
0.62,1172.33,91604.4,0.0177217
0.77,1173.84,91841.7,0.0177469
0.47,1173.84,91615.8,0.0177237
0.66,1181.28,91739,0.0177369
0.69,1198.75,91858.1,0.0177625
0.63,1188.67,91850,0.017751
0.62,1183.62,92028.8,0.0177684
0.09,1178.36,91935,0.0177585
0.44,1174.3,92014.2,0.0177662
0.81,1159.49,91584.3,0.0177173
0.66,1195.6,91955.4,0.0178278
0.27,1188.25,91753.4,0.0177394
0.6,1161.54,91917,0.0177573
0.69,1206.8,91629.5,0.0177275
0.67,1168.14,92103.2,0.0177752
0.63,1179.64,92071.2,0.0177803
0.43,1166.84,91889.1,0.017751
0.74,1187.2,91919.5,0.017757
0.61,1200.84,91830.5,0.0177474
0.51,1168.95,91648.7,0.0177246
0.55,1172.16,91849.7,0.0177564
0.64,1162.93,92133,0.0177777
0.75,1202.97,91918.4,0.0177592
0.64,1181.05,92024.8,0.0177681
0.68,1160.47,92000.1,0.0177649
0.5,1184.47,91832.6,0.017747
0.48,1225.15,91816.8,0.0177719
0.5,1165.34,91996,0.0177639
0.55,1201.97,91592.2,0.0177215
0.53,1193.28,91650.8,0.0177285
0.38,1226.68,91898.9,0.0177595
0.63,1183.25,91943.9,0.0177675
0.59,1196.43,91913.9,0.0177565
0.52,1186.96,91789.9,0.0177424
0.34,1192.13,91893.4,0.0177548
0.56,1167.39,91672.5,0.0177271
0.51,1197.05,92016.3,0.0177767
0.62,1172.51,91985.7,0.0177631
0.55,1175.96,91770.6,0.0177407
0.59,1171.51,91887.3,0.0177518
0.56,1163.98,91830.3,0.0177449
0.56,1173.65,91596.2,0.0177205
0.35,1228.61,91903,0.0177863
0.44,1182.82,92049.9,0.0177715
0.58,1187.68,91885.8,0.0177529
0.45,1178.47,91845,0.0177497
0.38,1198.64,91862.9,0.0177519
0.49,1180.66,91788.1,0.0177519
0.46,1153.87,92043.4,0.0177676
0.21,1186.02,91646.4,0.0177266
0.6,1051.65,91726.7,0.0177207
0.69,1180.05,92383.4,0.0178091
0.59,1244.66,91679.1,0.0177442
0.9,1178.81,91799.5,0.0177446
0.31,1167.38,91722.2,0.0177326
0.93,1165.71,91707.8,0.0177309
0.71,1179.71,91844.8,0.0177482
0.75,1161.34,91636.2,0.0177227
0.62,1229.32,91698.4,0.017758
0.87,1188.96,91915.9,0.0177588
0.68,1184.68,91951.6,0.0177599
0.52,1164.51,91643.7,0.0177232
0.51,1187.14,91788.5,0.017744
0.76,1166.42,91996.7,0.0177731
0.31,1185.17,91886,0.0177525
0.46,1197.14,92090.7,0.0177776
0.65,1190.57,91690.3,0.0177334
0.6,1195.53,92468,0.0178197
0.6,1221.7,91699.9,0.0177446
0.55,1184.34,91805.1,0.0177452
0.74,1172.99,91625.6,0.0177238
0.28,1157.12,92125.7,0.0177781
0.91,1166.25,92187.5,0.0177853
0.66,1191.35,91782.6,0.0177446
0.81,1209.81,91896.3,0.0177728
0.51,1183.33,91868.7,0.0177509
0.77,1203.7,91640.9,0.0177292
0.71,1189.46,92054.5,0.0177748
0.81,1163.09,91877.4,0.0177494
0.69,1208.16,91823.5,0.0177568
0.65,1187.96,92042.5,0.0177708
0.32,1203.35,92054.6,0.0177735
0.55,1187.48,91700.3,0.0177328
0.57,1180.48,91828,0.0177467
0.18,1165.2,91889.7,0.0177607
0.63,1188.24,91938.5,0.0177596
0.62,1175.81,91588.7,0.017719
0.52,1175.17,92014.4,0.0177669
0.67,1179.47,91689.3,0.0177326
0.23,1171.71,92075.1,0.0177793
0.56,1181.95,91925,0.0177561
0.74,1177.21,91934.3,0.0177574
0.75,1172.39,91854.2,0.0177501
0.55,1174.17,92094.8,0.0177767
0.31,1167.02,91989.3,0.0177617
0.46,1175.75,92409.7,0.0178208
0.77,1187.41,92111.6,0.017779
0.53,1171.69,92117.1,0.0177781
0,1188.13,92216.3,0.0177898
0.67,1166.8,92010.3,0.0177651
0.4,1215.82,91925.7,0.0177678
0.66,1175.77,92071.7,0.0177733
0.73,1196.97,91836.1,0.0177502
0.5,1171.46,92067.5,0.0177723
0.4,1186.27,91929.1,0.0177583
0.47,1187.67,91976,0.0177911
0.57,1258.02,91828.8,0.0177544
0.55,1169,91833.1,0.0177451
0.5,1176.35,91977.4,0.0177618
0.58,1191.46,91707.4,0.0177361
0.91,1182.72,91902.9,0.0177541
