rate_hits,cycles_leak,cycles_decode,total_time
0.18,1178.97,91846.7,0.0177505
0.08,1176.83,91832.3,0.017747
0.11,1185.2,92120.6,0.0177793
0.15,1199.82,91796,0.017746
0.09,1201.7,92189.4,0.0177872
0.14,1182.71,92048.8,0.0177803
0.16,1189.98,92070.1,0.017776
0.1,1163.4,91872.9,0.0177496
0.13,1181.32,92060.1,0.0177713
0.08,1207.69,92048.4,0.0177738
0.08,1186.85,92197.5,0.0177973
0.16,1153.85,92348.5,0.0178022
0.13,1159.05,92164.2,0.0177828
0.18,1152.67,91658.2,0.017724
0.07,1211.96,92022.1,0.0177725
0.18,1188.62,92186.3,0.0178436
0.2,1191.43,92092.9,0.0177782
0.02,1162.16,92093,0.0177725
0,1173.5,91895.6,0.017753
0.16,1195.09,91832.1,0.0177477
0.14,1185.85,91615.9,0.0177238
0.16,1205.2,91968.3,0.0177747
0.05,1167.63,92053.6,0.0177702
0.08,1173.05,92026.8,0.0177664
0.14,1177.48,91557.1,0.0177167
0.12,1168.38,92025.6,0.0177685
0.07,1184.37,92045.7,0.0177787
0.03,1179.5,92055.9,0.0177744
0,1189,91606,0.0177229
0.17,1224.2,91736.4,0.017743
0.1,1174.85,92023,0.0177692
0.05,1195.92,92085.4,0.0177987
0.15,1174.15,91992,0.0177659
0.12,1160.9,91971.3,0.0177618
0.05,1207.58,91859.9,0.0177531
0.12,1171.95,91501,0.0177099
0.16,1163.99,91664.3,0.0177262
0.08,1180.11,91445.6,0.0177146
0.08,1191.21,91854.8,0.0177497
0.12,1179.95,91820.3,0.0177446
0.13,1178.16,91616.6,0.0177228
0.06,1178.84,91792.6,0.017743
0.12,1158.49,92028,0.0177738
0.06,1187.2,91942.6,0.0177598
0.12,1204.33,92101.4,0.0177814
0.04,1198.79,92224.1,0.0177923
0.15,1192.86,91774.4,0.0177436
0.09,1202.58,92017.9,0.0178051
0.07,1200.04,91836.5,0.0177498
0.15,1197.28,91818.6,0.0177492
0.2,1222.59,91874.1,0.0177557
0.01,1188.53,92250.7,0.0177948
0.12,1200.26,92021.3,0.0177701
0.16,1190.46,91717.4,0.0177442
0.11,1183.56,91846.3,0.0177494
0.16,1215.29,91933.9,0.0177643
0.14,1187.87,91696.6,0.0177325
0.09,1163.69,91846.6,0.0177483
0.05,1180.37,91828.3,0.0177551
0.08,1197.12,91598,0.017724
0.09,1166.85,91648.3,0.0177241
0.15,1169.66,91642.7,0.0177238
0.18,1170.57,91663.9,0.0177283
0.14,1171.7,91757.7,0.0177597
0.12,1203.44,91626.7,0.0177246
0.06,1180.98,92070.7,0.0177742
0.17,1186.06,92055.5,0.017772
0.21,1183.36,92091.3,0.0177757
0.06,1180.55,92150.5,0.017782
0.22,1189.33,92079.7,0.0177859
0.16,1217.12,91868.1,0.0177564
0.12,1201,91620.3,0.0177252
0.16,1194.89,91564.3,0.0177177
0.13,1167.85,91675.3,0.0177292
0.1,1208.55,92067.5,0.0177901
0.03,1168.08,91874.3,0.0177497
0.15,1201.73,91986,0.0177648
0.11,1192.38,91860.8,0.0177527
0.11,1166.01,92017.9,0.0177664
0.13,1187.5,91948.7,0.0177898
0.07,1178.07,91854.4,0.0177494
0.1,1174.15,92048.2,0.0177701
0.12,1192.03,92031.9,0.0177703
0.21,1181.91,91774.7,0.01774
0.15,1205.06,91965.1,0.0177647
0.12,1180.36,91808.2,0.0177461
0.16,1214.57,92025.8,0.0177734
0.19,1172.96,91859.2,0.0177493
0.01,1192.64,92010,0.0177677
