rate_hits,cycles_leak,cycles_decode,total_time
0.99,1788.88,94582.7,0.0107235
1,1788.2,94663.7,0.0107325
1,1785.88,94636.9,0.0107293
0.4,1789.72,94584.9,0.0107238
0.27,1783.8,94647.3,0.0107308
1,1784.76,94617.4,0.0107269
1,1781.37,94616.6,0.0107265
1,1851.3,94528.9,0.0107248
0.75,1778.58,94593.5,0.0107243
0.75,1781.56,94575,0.010723
0.85,1783.2,94611.6,0.0107269
0.88,1778.47,94618.2,0.010727
1,1788.81,94641.6,0.0107301
0.91,1780.12,94668.3,0.0107328
1,1781.23,94614.5,0.0107262
0.94,1805.32,94667.1,0.0107348
1,1791.73,94638,0.01073
1,1792.04,94659.9,0.0107324
0.82,1781.22,94680.6,0.0107343
0.9,1783.68,94619.2,0.0107283
1,1780.24,94624.3,0.0107272
0.87,1782.53,94541,0.0107189
0.92,1781.85,94585.3,0.0107238
1,1781.3,94491.9,0.0107126
0.89,1802.14,94485.8,0.0107151
1,1788.18,94542.2,0.010719
0.91,1779.18,94552.7,0.0107197
0.41,1776.99,94574.7,0.010722
0.28,1778.78,94577.9,0.0107226
1,1781.01,94526.7,0.0107165
1,1792.54,94583.8,0.0107241
0.87,1778,94570.9,0.0107217
0.14,1819.92,94724.8,0.010744
0.38,1779.82,94518.6,0.0107161
0.99,1785.76,94538.5,0.0107183
1,1789.7,94511.8,0.0107157
0.27,1778.7,94589.5,0.0107239
1,1786.94,94607.7,0.0107261
0.87,1779.6,94504.9,0.0107146
0.98,1784.87,94572.2,0.010722
0.38,1781.61,94513.1,0.0107157
0.93,1797.76,94558.6,0.0107228
0.98,1779,94517.6,0.0107159
0.99,1786.99,94537.2,0.0107182
1,1782.38,94631.9,0.0107283
0.29,1789.13,94611.9,0.0107275
0.14,1776.1,94628.1,0.0107283
0.89,1784,94551.4,0.0107206
1,1790.43,94569.9,0.0107223
1,1806.45,94613.1,0.010729
1,1781.55,94560.7,0.0107203
0.29,1779.08,94625.1,0.0107279
0.36,1786.98,94600.2,0.010726
0.88,1784.48,94625.9,0.0107286
0.99,1786.11,94628.6,0.0107283
0.42,1803.85,94622.4,0.0107303
1,1795.45,94589.2,0.010725
0.92,1784.9,94618.2,0.0107278
0.33,1809.82,94350.8,0.0107009
1,1800.35,94700.2,0.0107379
0.13,1783.95,94696.2,0.0107363
0.86,1780.45,94688.6,0.0107351
0.89,1785.59,94609.4,0.0107269
1,1793.68,94641.9,0.0107307
0.35,1781.72,94681.3,0.0107344
0.7,1785.01,94759.7,0.0107435
0.25,1791.65,94752.6,0.0107435
0.51,1786.57,94635.5,0.0107299
0.81,1785.79,94757.1,0.0107435
1,1796.48,94691.9,0.0107366
0.26,1777.69,94709,0.010737
0.99,1779.16,94516.2,0.010715
1,1779.06,94721.1,0.0107379
0.82,1784.68,94723.4,0.0107394
1,1787.06,94704.4,0.0107369
0.32,1777.44,94614.1,0.0107268
1,1792.9,94715.4,0.0107388
0.87,1777.81,94675.5,0.0107338
1,1780.48,94612.2,0.0107259
1,1789.74,94581.8,0.0107235
1,1783.52,94592.8,0.0107241
0.96,1788.88,94622.2,0.0107279
0.91,1780.68,94582.8,0.0107244
1,1819.41,94632.3,0.0107325
0.59,1800.69,94604.4,0.0107274
1,1779.34,94607.2,0.0107252
0.26,1789.03,94594.7,0.0107256
0.9,1780.87,94533.1,0.0107178
0.32,1782.66,94543.7,0.0107192
0.9,1778.31,94592.3,0.0107246
0.74,1815.37,94606.9,0.0107293
0.97,1823.13,94646.6,0.0107345
1,1787.55,94656.4,0.0107316
0.12,1800.42,94634.9,0.0107313
0.91,1777.47,94706.9,0.0107368
0.79,1780.28,94694.6,0.0107357
0.17,1783.07,94652,0.0107313
1,1785.1,94688.6,0.0107348
1,1782.67,94701.3,0.0107361
0.21,1787.28,94694.3,0.0107365
1,1800.08,94721.8,0.0107404
1,1794.42,94661.8,0.0107329
1,1792.89,94668.6,0.0107335
0.79,1782.7,94663.5,0.0107325
1,1786.43,94722.4,0.0107388
0.95,1794.36,94612.3,0.0107282
1,1779.58,94656,0.0107306
1,1783.59,94634.6,0.0107287
0.85,1833.41,94905.9,0.0107655
0.99,1787.19,94643,0.0107301
1,1788.56,94665.6,0.0107328
0.31,1783.52,94668.5,0.0107332
1,1786.58,94662.5,0.0107322
1,1781.74,94616.6,0.0107265
0.85,1782.46,94626.4,0.0107284
1,1789.3,94605.8,0.0107262
1,1797.22,94619.6,0.0107286
0.21,1794.28,94617.2,0.0107292
1,1790.76,94569.1,0.0107223
1,1792.49,94527.2,0.0107177
1,1793.57,94591,0.010725
