rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.7431,0,8.76546e-06,8.96075e-06
0.6394,0,8.80204e-06,8.94166e-06
0.5562,0,8.79618e-06,8.94187e-06
0.7181,0,8.76592e-06,8.94239e-06
0.7448,0,8.73327e-06,8.94412e-06
0.7431,0,8.72727e-06,8.94199e-06
0.6757,0,8.73353e-06,8.94138e-06
0.7519,0,8.73975e-06,8.94127e-06
0.7367,0,8.73935e-06,8.94137e-06
0.675,0,8.76359e-06,8.94176e-06
0.671,0,8.78531e-06,8.94794e-06
0.7528,0,8.73685e-06,8.95088e-06
0.729,0,8.75831e-06,8.94165e-06
0.7345,0,8.71942e-06,8.9416e-06
0.5898,0,8.77102e-06,8.94144e-06
0.5867,0,8.79437e-06,8.94158e-06
0.7202,0,8.75424e-06,8.94243e-06
0.6594,0,8.73107e-06,8.94155e-06
0.711,0,8.72068e-06,8.94127e-06
0.6922,0,8.75311e-06,8.94105e-06
0.7346,0,8.74962e-06,8.94231e-06
0.5481,0,8.80195e-06,8.94145e-06
0.7347,0,8.71231e-06,8.94143e-06
0.7038,0,8.72322e-06,8.94173e-06
0.7551,0,8.72657e-06,8.94162e-06
0.6435,0,8.75362e-06,8.94155e-06
0.6211,0,8.79048e-06,8.95224e-06
0.9492,0,8.51723e-06,8.94182e-06
0.8412,0,8.69655e-06,8.94342e-06
0.7182,0,8.74415e-06,8.94165e-06
0.7295,0,8.71544e-06,8.94197e-06
0.7377,0,8.70793e-06,8.94174e-06
0.6459,0,8.81794e-06,8.94413e-06
0.5925,0,8.79274e-06,8.94667e-06
0.6089,0,8.80847e-06,8.96367e-06
0.7386,0,8.71181e-06,8.94129e-06
0.6794,0,9.02637e-06,8.99173e-06
0.7092,0,8.74049e-06,8.94241e-06
0.6306,0,8.75336e-06,8.94123e-06
0.664,0,8.73498e-06,8.94235e-06
0.5649,0,8.82833e-06,8.9464e-06
0.6546,0,8.77507e-06,8.94323e-06
0.6419,0,8.78964e-06,8.94826e-06
0.7318,0,8.71447e-06,8.94182e-06
0.6388,0,8.83546e-06,9.00951e-06
0.6889,0,8.77651e-06,8.94568e-06
0.7595,0,8.72017e-06,8.94165e-06
0.6248,0,8.78273e-06,8.96028e-06
0.6725,0,8.76328e-06,8.94233e-06
0.6793,0,8.7828e-06,8.95786e-06
0.738,0,8.69261e-06,8.94162e-06
0.603,0,8.77531e-06,8.94144e-06
0.5082,0,8.85008e-06,8.96303e-06
0.7596,0,8.73484e-06,8.94193e-06
0.7512,0,8.75435e-06,8.94187e-06
0.6038,0,8.82826e-06,8.98104e-06
0.7444,0,8.7251e-06,8.94241e-06
0.6771,0,8.78913e-06,8.94192e-06
0.665,0,8.74895e-06,8.94204e-06
0.7369,0,8.72734e-06,8.9427e-06
0.7649,0,8.71658e-06,8.94284e-06
0.6552,0,8.76425e-06,8.94391e-06
0.7007,0,8.78994e-06,8.95848e-06
0.6806,0,8.79147e-06,8.94912e-06
0.67,0,8.73983e-06,8.94253e-06
0.5297,0,8.83959e-06,8.95832e-06
0.7495,0,8.73326e-06,8.94252e-06
0.7344,0,8.71363e-06,8.94245e-06
0.7311,0,8.72267e-06,8.9432e-06
0.564,0,8.79513e-06,8.94246e-06
0.5692,0,8.83677e-06,8.96664e-06
0.742,0,8.88176e-06,9.04122e-06
