rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0165,0,8.20339e-06,8.19964e-06
0.001,0,8.13143e-06,8.2011e-06
0.0026,0.0001,8.13746e-06,8.1985e-06
0.0302,0.0154,8.15424e-06,8.21754e-06
0.0018,0,8.10906e-06,8.17449e-06
0.0008,0,8.13727e-06,8.21323e-06
0.0015,0.0001,8.13469e-06,8.18174e-06
0.0011,0,8.10312e-06,8.17815e-06
0.0009,0.0003,8.12432e-06,8.18548e-06
0.0013,0,8.12985e-06,8.1997e-06
0.0014,0,8.09643e-06,8.16668e-06
0.0013,0,8.1262e-06,8.19352e-06
0.0008,0,8.11297e-06,8.15543e-06
0.0024,0,8.15941e-06,8.22771e-06
0.0012,0,8.12441e-06,8.19345e-06
0.0013,0,8.12417e-06,8.19419e-06
0.0389,0.0091,8.10502e-06,8.16938e-06
0.0023,0,8.11066e-06,8.1735e-06
0.0514,0.0261,8.17779e-06,8.24891e-06
0.0031,0,8.11623e-06,8.16696e-06
0.0023,0.0003,8.12415e-06,8.1924e-06
0.0027,0,8.11781e-06,8.16766e-06
0.0273,0.01,8.13758e-06,8.20199e-06
0.0021,0.0003,8.11886e-06,8.19505e-06
0.0195,0.0002,8.14907e-06,8.20849e-06
0.0045,0.0001,8.16075e-06,8.22122e-06
0.0471,0,8.16388e-06,8.22281e-06
0.1153,0.0298,8.18957e-06,8.24404e-06
0.0021,0.0002,8.15121e-06,8.18002e-06
0.0016,0,8.09692e-06,8.1711e-06
0.0017,0,8.12274e-06,8.18021e-06
0.0032,0.0001,8.11875e-06,8.16458e-06
0.0009,0.0001,8.10736e-06,8.15019e-06
0.062,0.0111,8.13497e-06,8.19519e-06
0.0369,0.0003,8.19568e-06,8.25056e-06
0.0015,0.0001,8.10828e-06,8.17184e-06
0.0238,0.0079,8.12272e-06,8.18793e-06
0.0678,0.0112,8.11435e-06,8.17028e-06
0.039,0.0003,8.16483e-06,8.22659e-06
0.0028,0,8.1138e-06,8.17823e-06
0.2746,0.2233,8.23319e-06,8.30441e-06
0.0411,0.0113,8.12418e-06,8.18523e-06
0.0014,0,8.12488e-06,8.17393e-06
0.0012,0,8.11724e-06,8.18692e-06
0.0564,0.0103,8.11762e-06,8.17483e-06
0.0007,0,8.11348e-06,8.18404e-06
0.003,0.002,8.12437e-06,8.19714e-06
0.001,0,8.12356e-06,8.18087e-06
0.0015,0,8.09945e-06,8.16687e-06
0.0038,0.0011,8.12801e-06,8.1884e-06
0.0016,0,8.10888e-06,8.17328e-06
0.004,0.0001,8.18634e-06,8.25078e-06
0.0015,0.0001,8.09186e-06,8.13213e-06
0.0018,0.0001,8.10792e-06,8.15939e-06
0.0083,0,8.16291e-06,8.21714e-06
0.0354,0.0202,8.17504e-06,8.24981e-06
0.002,0,8.11099e-06,8.16835e-06
0.0502,0.008,8.1297e-06,8.19195e-06
0.0402,0.0108,8.1201e-06,8.17985e-06
0.234,0.1848,8.21239e-06,8.27309e-06
0.0009,0.0003,8.11282e-06,8.16584e-06
0.0012,0,8.08749e-06,8.14595e-06
0.0034,0.0002,8.1415e-06,8.1779e-06
0.0051,0,8.12922e-06,8.16545e-06
0.0027,0.0002,8.10632e-06,8.17063e-06
0.0096,0,8.11531e-06,8.17331e-06
0.002,0.0001,8.08778e-06,8.15086e-06
0.001,0,8.12705e-06,8.19933e-06
0.0068,0.0008,8.13531e-06,8.19324e-06
0.0014,0.0001,8.10748e-06,8.18022e-06
0.0009,0.0001,8.08074e-06,8.15401e-06
0.0006,0.0002,8.10995e-06,8.17848e-06
