rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
1,0,1.67369e-06,1.8069e-06
1,0,1.67473e-06,1.79902e-06
1,0,1.67263e-06,1.80016e-06
1,0,1.61976e-06,1.79965e-06
1,0,1.67608e-06,1.79976e-06
1,0,1.67354e-06,1.79928e-06
1,0,1.67452e-06,1.79883e-06
1,0,1.6769e-06,1.79934e-06
1,0,1.67413e-06,1.79981e-06
1,0,1.67308e-06,1.79914e-06
1,0,1.67405e-06,1.7972e-06
1,0,1.67572e-06,1.79981e-06
1,0,1.67344e-06,1.79778e-06
1,0,1.67375e-06,1.79941e-06
1,0,1.67154e-06,1.79934e-06
1,0,1.67558e-06,1.7993e-06
1,0,1.67475e-06,1.79952e-06
1,0,1.67143e-06,1.79612e-06
1,0,1.67193e-06,1.79604e-06
1,0,1.67594e-06,1.80003e-06
1,0,1.67444e-06,1.79943e-06
1,0,1.6736e-06,1.79984e-06
1,0,1.68059e-06,1.79892e-06
1,0,1.67578e-06,1.79875e-06
1,0,1.67212e-06,1.79484e-06
1,0,1.6763e-06,1.79936e-06
1,0,1.67373e-06,1.79932e-06
1,0,1.67699e-06,1.79926e-06
1,0,1.67572e-06,1.79896e-06
1,0,1.67625e-06,1.79878e-06
1,0,1.67359e-06,1.79974e-06
1,0,1.67502e-06,1.7946e-06
1,0,1.67469e-06,1.79963e-06
1,0,1.67674e-06,1.79925e-06
1,0,1.67449e-06,1.80047e-06
1,0,1.67507e-06,1.79871e-06
1,0,1.67528e-06,1.79939e-06
1,0,1.67308e-06,1.80043e-06
1,0,1.67809e-06,1.79755e-06
1,0,1.67704e-06,1.79886e-06
1,0,1.67455e-06,1.80184e-06
1,0,1.6759e-06,1.79942e-06
1,0,1.67639e-06,1.80141e-06
1,0,1.67532e-06,1.7994e-06
1,0,1.67255e-06,1.79926e-06
1,0,1.67574e-06,1.79834e-06
1,0,1.67563e-06,1.80034e-06
1,0,1.67439e-06,1.79974e-06
1,0,1.67478e-06,1.79938e-06
1,0,1.67116e-06,1.79948e-06
1,0,1.67241e-06,1.79985e-06
1,0,1.67541e-06,1.79915e-06
1,0,1.67585e-06,1.79974e-06
1,0,1.66877e-06,1.79892e-06
1,0,1.67384e-06,1.80072e-06
1,0,1.67302e-06,1.79881e-06
1,0,1.67201e-06,1.7964e-06
1,0,1.67301e-06,1.80142e-06
1,0,1.67361e-06,1.79986e-06
1,0,1.67422e-06,1.79918e-06
1,0,1.67364e-06,1.79606e-06
1,0,1.67553e-06,1.7989e-06
1,0,1.6188e-06,1.79919e-06
1,0,1.67064e-06,1.79421e-06
1,0,1.67329e-06,1.79947e-06
1,0,1.67377e-06,1.79911e-06
1,0,1.6739e-06,1.79996e-06
1,0,1.67368e-06,1.7991e-06
1,0,1.68472e-06,1.7991e-06
1,0,1.63431e-06,1.7989e-06
1,0,1.67342e-06,1.79737e-06
1,0,1.67589e-06,1.79906e-06
1,0,1.67376e-06,1.79966e-06
1,0,1.67406e-06,1.79842e-06
1,0,1.67545e-06,1.79966e-06
1,0,1.67551e-06,1.80024e-06
1,0,1.6731e-06,1.79839e-06
1,0,1.67417e-06,1.79769e-06
1,0,1.67402e-06,1.79992e-06
1,0,1.67255e-06,1.79948e-06
1,0,1.67309e-06,1.79929e-06
1,0,1.67392e-06,1.79991e-06
1,0,1.67527e-06,1.79833e-06
1,0,1.67534e-06,1.79982e-06
1,0,1.67315e-06,1.79838e-06
1,0,1.6762e-06,1.79921e-06
1,0,1.62803e-06,1.79906e-06
1,0,1.67591e-06,1.80133e-06
1,0,1.62982e-06,1.79902e-06
1,0,1.6757e-06,1.80004e-06
1,0,1.67429e-06,1.79958e-06
1,0,1.67587e-06,1.79891e-06
1,0,1.67676e-06,1.79864e-06
1,0,1.67571e-06,1.79916e-06
1,0,1.62381e-06,1.79891e-06
1,0,1.67238e-06,1.79753e-06
1,0,1.67384e-06,1.79926e-06
1,0,1.67394e-06,1.79926e-06
1,0,1.67363e-06,1.79867e-06
1,0,1.67561e-06,1.79968e-06
1,0,1.67576e-06,1.79914e-06
1,0,1.67364e-06,1.79965e-06
1,0,1.67425e-06,1.79616e-06
1,0,1.67551e-06,1.79873e-06
1,0,1.67545e-06,1.79974e-06
1,0,1.67516e-06,1.79979e-06
1,0,1.6758e-06,1.80073e-06
1,0,1.67543e-06,1.79877e-06
1,0,1.62768e-06,1.79969e-06
1,0,1.67567e-06,1.79494e-06
1,0,1.67372e-06,1.80026e-06
1,0,1.67622e-06,1.79933e-06
1,0,1.67538e-06,1.79996e-06
1,0,1.67554e-06,1.79888e-06
1,0,1.67617e-06,1.7995e-06
1,0,1.67347e-06,1.79947e-06
1,0,1.67513e-06,1.79658e-06
1,0,1.67298e-06,1.80137e-06
1,0,1.67533e-06,1.79918e-06
1,0,1.67604e-06,1.80003e-06
1,0,1.67627e-06,1.79941e-06
1,0,1.67359e-06,1.80009e-06
1,0,1.67419e-06,1.79799e-06
1,0,1.67324e-06,1.79777e-06
1,0,1.62547e-06,1.75345e-06
1,0,1.67312e-06,1.79952e-06
1,0,1.67364e-06,1.79933e-06
1,0,1.61561e-06,1.79886e-06
1,0,1.67583e-06,1.79934e-06
1,0,1.67294e-06,1.79879e-06
1,0,1.67304e-06,1.80157e-06
1,0,1.67297e-06,1.79637e-06
1,0,1.67556e-06,1.80192e-06
1,0,1.67547e-06,1.7999e-06
1,0,1.67361e-06,1.79917e-06
1,0,1.67524e-06,1.7997e-06
0.4792,0,1.77438e-06,1.79814e-06
1,0,1.67602e-06,1.79993e-06
1,0,1.67609e-06,1.79951e-06
1,0,1.67606e-06,1.79925e-06
1,0,1.67544e-06,1.79939e-06
1,0,1.67401e-06,1.7951e-06
1,0,1.67329e-06,1.7997e-06
1,0,1.67411e-06,1.79923e-06
1,0,1.67528e-06,1.79901e-06
1,0,1.67592e-06,1.79987e-06
1,0,1.67434e-06,1.79938e-06
1,0,1.67561e-06,1.79889e-06
1,0,1.67077e-06,1.79436e-06
1,0,1.67477e-06,1.79898e-06
1,0,1.67621e-06,1.79976e-06
1,0,1.68425e-06,1.79914e-06
1,0,1.67413e-06,1.79944e-06
1,0,1.63175e-06,1.79932e-06
1,0,1.67557e-06,1.79991e-06
1,0,1.67585e-06,1.79612e-06
1,0,1.6768e-06,1.79969e-06
1,0,1.6755e-06,1.79851e-06
1,0,1.67342e-06,1.79901e-06
1,0,1.67521e-06,1.80001e-06
1,0,1.67321e-06,1.79941e-06
1,0,1.67405e-06,1.79871e-06
1,0,1.67247e-06,1.80069e-06
1,0,1.673e-06,1.799e-06
1,0,1.67276e-06,1.80186e-06
1,0,1.62041e-06,1.79959e-06
1,0,1.62328e-06,1.79923e-06
1,0,1.67527e-06,1.8004e-06
1,0,1.67286e-06,1.79895e-06
1,0,1.62662e-06,1.80034e-06
1,0,1.67456e-06,1.7994e-06
1,0,1.67293e-06,1.79854e-06
1,0,1.6762e-06,1.79848e-06
1,0,1.67047e-06,1.80002e-06
