rate_hits,cycles_leak,cycles_decode,total_time
0,1600.21,93917.6,0.0106298
0,1600.99,94012.2,0.0106396
0,1586.86,94049.3,0.0106429
0,1585.05,93951,0.0106318
0,1597.78,93983.2,0.010636
0,1597.8,93943.2,0.0106315
0,1583.52,93981.7,0.0106349
0,1586.83,93977.5,0.0106342
0,1590.87,93999.2,0.0106382
0,1593.32,94096.9,0.0106481
0,1591.13,94083.2,0.0106463
0,1590.02,93985.5,0.0106353
0,1587.94,94063.5,0.0106437
0,1591.67,94016,0.0106389
0,1612.8,94072.3,0.0106482
0,1588.36,94048,0.0106427
0,1583.34,94112,0.0106492
0,1638.5,94084,0.0106525
0,1585.81,93942.4,0.0106306
0,1583.72,93920.1,0.010628
0,1596.79,93915.1,0.0106282
0,1600.65,93918.2,0.0106296
0,1591.2,93929.6,0.0106292
0,1590.09,93911.3,0.0106277
0,1583.56,93937.4,0.0106298
0,1588.13,93983.5,0.0106355
0,1603.18,93992.4,0.0106382
0,1603.22,93966.5,0.0106346
0,1591.52,93986.5,0.0106355
0,1593.77,93990.2,0.0106362
0,1591.58,94010.3,0.0106381
0,1591.93,93947.4,0.0106319
0,1627.36,93980.5,0.0106389
0,1602.43,93988.7,0.010637
0,1595.68,93968.8,0.0106347
0,1599.65,93988.4,0.0106367
0,1586.11,93983.5,0.0106345
0,1591.67,93967.3,0.0106333
0,1583.69,93997,0.0106364
0,1585.49,94031.4,0.0106404
0,1586.87,93966.6,0.0106327
0,1593.33,93996.3,0.0106374
0,1584.15,93945.9,0.0106307
0,1631.08,94279.8,0.0106733
0,1598.62,94069.8,0.0106461
0,1587.96,93966.9,0.0106329
0,1595.16,93954.9,0.0106323
0,1600.64,93946.5,0.010632
0,1598.2,93963.8,0.0106336
0,1602.39,93988.7,0.0106369
0,1582.18,93971.2,0.0106333
0,1598.07,94034.2,0.0106422
0,1590.43,94140.8,0.0106531
0,1614.01,94077,0.010648
0,1598.04,94075.6,0.010646
0,1592.26,94062.3,0.0106439
0,1587.6,94035.2,0.0106404
0,1595.59,94044.7,0.0106423
0,1585.16,94008.7,0.0106387
0,1594.22,93978,0.010636
0,1603.53,94006.6,0.0106397
0,1591.64,94032.6,0.0106412
0,1583.65,93952.8,0.0106314
0,1581.09,93934.7,0.0106297
0,1598.46,94016.1,0.0106394
0,1597.67,94092.4,0.0106479
0,1588.8,94041.7,0.0106412
0,1594.92,93978.9,0.0106356
0,1645.8,94077.9,0.0106517
0,1594.49,93973.9,0.0106343
0,1584.13,94026.9,0.0106397
0,1588.71,94025.4,0.0106401
0,1591.63,94081.6,0.0106459
0,1594.41,94042.3,0.0106419
0,1588.06,94051.8,0.0106423
0,1589.87,93997.9,0.0106371
0,1582.75,94041,0.0106412
0,1606.41,94047,0.0106445
0,1587.3,94055.2,0.010643
0,1589.51,93984.3,0.0106351
0,1585.79,94028.4,0.0106396
0,1589.26,94016.3,0.0106387
0,1580.18,93992.1,0.0106349
0,1593.71,94048,0.0106427
