rate_hits,cycles_leak,cycles_decode,total_time
0,1616.44,48801.6,0.00561822
0,1585.85,48683.3,0.00560121
0,1582.69,48689.7,0.00560149
0,1608.21,48882.6,0.00562556
0,1590.57,48668.1,0.00559964
0,1602.24,48711.7,0.00560575
0.01,1582.2,48682.6,0.00560057
0,1593.32,48684.8,0.00560177
0.01,1588.92,48689.9,0.00560189
0,1582.97,48691.3,0.00560144
0.01,1592.86,48677.5,0.00560093
0,1590.84,48694.8,0.00560286
0,1585.2,48685.1,0.00560093
0,1581.73,48686.3,0.00560118
0,1584.43,48695.4,0.00560217
0.01,1585.54,48690.8,0.00560165
0,1585.51,48691.7,0.00560167
0.01,1587.42,48696.4,0.00560247
0.01,1645.73,49148,0.00565929
0.01,1587.63,48686.5,0.00560132
0,1593.06,48717.1,0.00560563
0,1583.43,48687.7,0.00560116
0.01,1597.89,48678.9,0.00560164
0,1589.98,48692.9,0.0056027
0,1585.75,48683.2,0.00560076
0,1591.65,48678.4,0.00560082
0,1593.03,48697,0.00560318
0,1591.09,48685.6,0.00560159
0,1600.05,48692,0.00560337
0.01,1599.94,48694.3,0.00560358
0,1593.71,48690.1,0.00560249
0,1582.21,48685.7,0.00560101
0,1586.25,48691.5,0.00560204
0,1610.81,48922,0.00563152
0,1592.52,48685.8,0.00560187
0,1594.19,48686.4,0.005602
0,1582.47,48683.7,0.00560114
0,1584.92,48680.3,0.00560072
0.02,1583.22,48675.1,0.00559983
0.01,1610.4,48689.5,0.00560421
0,1580.74,48690.5,0.00560106
0,1583.08,48686.4,0.00560076
0,1585.16,48685.8,0.00560105
0,1587.21,48678.3,0.00560035
0,1582.76,48686.7,0.00560133
0,1582,48689.5,0.00560105
0,1596.01,48677.1,0.00560123
0,1578.61,48669.9,0.00559956
0,1600.82,48868.3,0.00562326
0.01,1587.65,48686.8,0.00560161
0.01,1591.52,48681.2,0.00560122
0.01,1590.72,48686.4,0.00560212
0,1596.67,48686.4,0.00560232
0,1583.49,48686.3,0.00560083
0,1591.63,48687.9,0.00560194
0,1584.58,48676.9,0.00560026
0,1585.74,48681.9,0.00560059
0,1579.42,48688.4,0.00560071
0,1589.06,48686.6,0.00560147
0,1583.47,48686.9,0.00560127
0.01,1583.26,48685.2,0.00560084
0,1579.34,48684.4,0.00560064
0.01,1588.32,48683.4,0.00560106
0,1652.8,49485.3,0.00569762
0,1585.15,48683.8,0.00560133
0,1589.99,48681.3,0.00560096
0.01,1580.64,48688.4,0.00560172
0,1584.9,48681.4,0.00560044
0,1595.27,48688.7,0.0056025
0.01,1588.41,48685.8,0.00560135
0,1594.21,48687.8,0.00560235
0,1587.8,48683,0.00560094
0,1581.95,48680.5,0.00560028
0,1582.06,48683.4,0.00560088
0,1581.18,48679.4,0.00560048
0,1589.03,48690.6,0.00560189
0,1587.32,48692.6,0.00560207
0.02,1583.86,48687.8,0.00560139
0,1604.16,48892.4,0.00562626
0.03,1589.83,48692.5,0.00560216
0,1582.85,48691.1,0.00560166
0,1585.88,48685.2,0.00560102
0,1589.99,48694.4,0.0056025
0,1591.46,48688.1,0.00560193
0,1590.24,48686,0.00560159
0,1595.12,48689.3,0.00560375
0,1592.85,48688.7,0.00560221
0,1585.15,48680.5,0.00560125
0.01,1592.57,48702.1,0.0056037
0,1584.51,48684.7,0.00560104
0,1591.65,48673.9,0.00560039
0,1594.5,48691.8,0.00560264
0,1581.39,48693.6,0.00560154
0,1609.92,48929.6,0.00563145
0.01,1591.25,48703.5,0.00560368
0,1591.76,48686.8,0.00560174
0,1598.42,48689.3,0.00560295
0,1595.16,48694.5,0.00560303
0,1584.97,48691,0.00560161
0,1577.04,48686.1,0.00560081
0,1590.96,48696.2,0.00560284
0,1592.17,48683.8,0.00560152
0,1580.57,48685,0.00560104
0.01,1584.6,48689.3,0.00560188
0,1585.91,48679.1,0.00560041
0,1582.01,48688.3,0.00560093
0,1589.26,48684.3,0.00560133
0.01,1596.49,48687.4,0.00560236
0,1636.83,49152.2,0.00565896
0,1589.38,48692.8,0.00560221
0,1583.24,48686,0.00560088
0,1582.12,48686.9,0.00560122
0,1595.66,48686.5,0.00560219
0,1588.56,48688.9,0.00560216
0.01,1593.11,48687.1,0.00560205
0,1589.04,48690.9,0.005602
0.01,1582.15,48691.1,0.00560151
0,1580.85,48683.9,0.00560098
0,1583.69,48683.9,0.00560059
0,1584.59,48683.7,0.0056007
0,1580.43,48686.7,0.00560136
0,1580.56,48692.3,0.00560277
0.02,1581.61,48681.9,0.00560027
0.01,1606.66,48910.5,0.00562871
0,1589.77,48696.2,0.00560269
0,1594.81,48684,0.00560185
0,1582.76,48688.4,0.00560147
0,1578.15,48685.9,0.00560021
0,1580.53,48689.9,0.00560154
0,1596.44,48682.7,0.00560188
0,1582.73,48680.2,0.0056001
0.01,1580.86,48685.2,0.00560042
0.01,1584.21,48687.4,0.00560105
0.01,1580.27,48687.8,0.00560074
0,1586.49,48685.6,0.00560109
0,1580.7,48684.6,0.00560045
0,1582.93,48689.6,0.00560115
0.01,1580.84,48671.9,0.00559971
0,1599.31,48900.6,0.00562705
