rate_hits,cycles_leak,cycles_decode,total_time
0,1722.31,93979.8,0.0106499
0,1720.78,94017.3,0.0106539
0,1732.9,94006,0.0106533
0,1721.12,93961.3,0.0106477
0,1738.13,94013.9,0.0106548
0,1724.2,93967.1,0.010648
0,1718.02,93964.9,0.0106478
0,1759.26,94186.8,0.0106773
0,1720.77,93980.3,0.0106498
0,1727.02,94016,0.0106544
0,1721.78,94104,0.0106636
0,1728.6,94018.5,0.0106542
0,1755.03,94033.3,0.0106595
0,1719.02,94087.1,0.0106616
0,1729.99,94081.6,0.0106614
0,1720.51,94081.2,0.010661
0,1738.45,94094,0.0106644
0,1722.44,94069.3,0.0106591
0,1717.66,94050.6,0.0106572
0,1726.98,94049.8,0.0106575
0,1721.63,94007.3,0.0106522
0,1718.91,93960.3,0.0106467
0,1717.88,94002.1,0.0106524
0,1722.88,94043.1,0.0106563
0,1733.48,94005,0.010654
0,1737.77,94016.1,0.010655
0,1727.7,94005.5,0.0106533
0,1730.5,94044.9,0.010658
0,1713.99,94107.5,0.0106631
0,1722.8,94060.3,0.010659
0,1719.06,94031.5,0.0106553
0,1722.76,94061.9,0.010659
0,1709.98,94090.1,0.0106607
0,1794.17,94085.7,0.0106693
0,1722.9,94092.1,0.0106618
0,1720.86,94081.6,0.010661
0,1723.31,94088.7,0.010662
0,1715.64,94169.3,0.0106701
0,1718.55,94099.3,0.0106631
0,1720.52,94077,0.0106604
0,1719.46,94123.8,0.0106648
0,1726.73,94080.5,0.010662
0,1732.82,94014.3,0.0106541
0,1724.39,94052.6,0.0106586
0,1727.52,94061.8,0.0106594
0,1714.21,94046.1,0.0106567
0,1725.22,94144.7,0.0106684
0,1725.15,94059.4,0.010659
0,1720.17,94137.6,0.0106671
0,1726.67,94085,0.0106613
0,1742.26,94007.3,0.0106551
0,1722.24,94057.3,0.0106584
0,1730.28,94047.5,0.0106575
0,1718.66,94047.5,0.0106571
0,1733.03,94116.7,0.0106656
0,1728.3,94107.2,0.0106639
0,1729.39,94084.2,0.0106615
0,1728.73,94056.6,0.0106584
0,1763.64,94272.6,0.0106876
0,1717.37,94087.6,0.0106612
0,1717.8,94098,0.0106624
0,1720.7,94090.3,0.0106619
0,1716.73,94034.7,0.0106558
0,1717.62,94072.7,0.0106601
0,1726.31,94018.4,0.0106539
0,1720.96,94101.4,0.0106632
0,1716.73,94131.7,0.0106654
0,1758.62,94184.5,0.0106759
0,1717.67,94131,0.0106665
0,1725.32,94088.5,0.0106615
0,1734.16,94061.8,0.0106603
0,1720.14,94109.2,0.0106639
0,1714.6,94126.8,0.0106653
0,1723.38,94109.9,0.0106637
0,1717.58,94082.6,0.0106606
0,1742.08,94081.9,0.0106627
0,1719,94024.6,0.0106544
0,1720.82,94041.8,0.0106565
0,1718.43,94002.2,0.0106518
0,1719.95,94089.7,0.0106611
0,1714.56,94048.2,0.0106565
0,1714.8,94025.7,0.0106541
0,1714.31,94046,0.0106563
0,1731.72,94092.5,0.0106628
0,1780.65,94219.7,0.0106832
0,1724.94,94109.6,0.0106639
0,1714.4,94058.3,0.0106576
0,1722.13,94072.8,0.0106595
0,1714.78,94069.3,0.0106583
0,1723.82,94058,0.010658
0,1727.59,94112.7,0.0106645
0,1711.33,94082.6,0.01066
0,1738.63,94087.4,0.010663
0,1716.7,94056.2,0.0106578
0,1719.12,94000.6,0.0106518
0,1716.48,94021.1,0.0106538
0,1725.79,94043.2,0.0106565
0,1718.66,93993.9,0.0106503
0,1716.09,94002.2,0.0106521
0,1720.78,94064.4,0.0106584
0,1729.57,93987.3,0.0106507
0,1733.85,94084.5,0.0106628
0,1729.82,94014.5,0.0106539
0,1723.2,94136.4,0.0106673
0,1739.57,94003.7,0.0106537
0,1722.12,94071,0.0106599
0,1726.35,94082,0.010661
0,1725.01,94038.8,0.0106567
0,1721.46,94131.7,0.0106666
0,1756,94047.4,0.0106612
0,1717.98,94030.2,0.010655
0,1727.59,94138.5,0.0106674
0,1717.8,94121.2,0.010665
0,1723.75,94060.4,0.0106582
0,1724.52,94100.1,0.0106628
0,1723.83,94021.7,0.0106546
0,1720.22,94175.1,0.0106713
0,1724.43,94092.1,0.0106618
0,1742.95,94124.6,0.0106676
0,1729.93,94148.6,0.0106687
0,1737.42,94064.4,0.0106602
0,1716.32,94124.5,0.0106652
0,1714.14,94192.8,0.0106719
0,1722.26,94130.3,0.0106659
0,1726.67,94103.1,0.010664
0,1738.27,94129.8,0.0106676
0,1737.58,94116.2,0.0106667
0,1727.76,94016.5,0.0106545
0,1755.42,94048.4,0.0106604
0,1726.55,94048.9,0.0106579
0,1719.43,93991.2,0.0106501
0,1733.27,94022.8,0.0106551
0,1723.25,94019.3,0.0106543
0,1718.31,94026.6,0.0106546
0,1718.86,94033.3,0.0106554
0,1775.42,94138.7,0.0106741
0,1719.31,94062.6,0.0106587
0,1715.81,94014,0.0106529
0,1723.02,94079.4,0.0106603
0,1713.16,93985.8,0.0106494
0,1732.44,93986,0.0106509
0,1720.43,94015.9,0.0106536
0,1720.36,94066.4,0.0106592
0,1742.62,94071.7,0.0106623
0,1717.9,94076.7,0.0106601
0,1722.92,94165.7,0.0106699
0,1727.54,94099.9,0.0106631
0,1721.26,94194.9,0.0106736
0,1717.73,94107.8,0.0106628
0,1728.1,94117.8,0.0106651
0,1733.22,94050.6,0.0106583
0,1718.76,94045.4,0.0106567
0,1736.87,94074.4,0.010662
