rate_hits,cycles_leak,cycles_decode,total_time
0,269.397,93750.1,0.0104625
0,267.797,93740.8,0.0104612
0,267.742,93874.7,0.0104761
0,267.312,94082.6,0.0104995
0,270.323,93834.4,0.0104719
0,273.512,93842.9,0.0104739
0,269.315,93889,0.0104785
0,269.653,93855.6,0.0104742
0,268.423,93828.4,0.0104718
0,267.183,93800.4,0.0104684
0,270.382,93868.3,0.0104764
0,269.16,93849.8,0.0104735
0,268.81,93883.7,0.0104773
0,270.548,93774.7,0.0104653
0,267.932,93848.9,0.0104739
0,268.655,93768.4,0.0104651
0,267.565,93793.9,0.0104678
0,269.381,93889.6,0.0104786
0,268.272,93856.3,0.0104741
0,269.68,93859.6,0.0104753
0,266.846,93852.5,0.0104736
0,272.821,93840.2,0.0104728
0,268.267,93849.2,0.0104733
0,266.786,93875.2,0.010476
0,269.634,93796.3,0.0104683
0,269.658,93825.4,0.0104715
0,273.782,93801.5,0.0104693
0,268.315,93825.2,0.0104707
0,267.991,93821,0.0104702
0,271.159,93933.4,0.0104838
0,268.515,93852.7,0.0104744
0,270.981,93835.9,0.0104728
0,269.96,93813.4,0.0104703
0,270.071,93826.4,0.010471
0,270.317,93793,0.010468
0,268.244,93766.5,0.0104641
0,269.277,93754.4,0.0104636
0,269.473,93836,0.010472
0,269.028,93798.7,0.0104678
0,270.751,93769.1,0.0104648
0,266.468,93758.2,0.010463
0,273.674,93822.1,0.0104709
0,269.786,93831.8,0.0104722
0,271.86,93807.2,0.0104697
0,269.126,93798.7,0.0104678
0,268.746,93776.2,0.0104659
0,268.606,93880.4,0.0104776
0,273.728,93823.9,0.0104711
0,268.436,93855.3,0.0104747
0,267.425,93838.4,0.010472
0,272.835,93783.3,0.0104672
0,267.963,93794,0.0104671
0,268.452,93823.4,0.0104711
0,268.121,93902.8,0.0104792
0,269.621,93876.5,0.0104772
0,267.066,93912.7,0.0104811
0,268.859,93856,0.0104741
0,267.696,93825.8,0.0104706
0,271.72,93839.6,0.0104733
0,269.138,93770.6,0.0104647
0,269.053,93817.1,0.0104698
0,269.048,93923,0.0104823
0,271.108,93808.7,0.0104698
0,269.675,93882,0.0104778
0,268.705,93881.9,0.010477
0,268.98,93792.9,0.0104678
0,271.136,93809.4,0.0104699
0,269.158,93850.8,0.0104736
0,269.263,93799.1,0.0104685
0,272.205,93752.8,0.010463
0,267.696,93783.8,0.010466
0,268.468,93807.8,0.0104694
0,268.214,93769.4,0.0104652
0,268.992,93842.9,0.0104736
0,267.854,93749.1,0.0104628
0,267.059,93767.8,0.0104648
0,268.44,93779.7,0.0104663
0,268.772,93810,0.0104691
0,270.591,93686.5,0.0104555
0,270.449,93760.3,0.0104644
0,268.283,93766.7,0.0104641
0,271.084,94032.9,0.0104942
0,272.667,93751.9,0.010463
0,269.378,93815.8,0.0104704
0,271.9,93779.8,0.0104667
0,267.861,93779.5,0.0104656
0,270.536,93815.3,0.0104698
0,268.277,93798.4,0.0104677
0,269.443,93769.1,0.0104645
0,269.637,93821.6,0.0104704
0,271.254,93718,0.0104591
0,269.738,93711,0.0104581
0,267.086,93727.3,0.0104596
0,270.512,93757.3,0.0104634
0,267.859,93731.9,0.0104603
0,268.904,93721.8,0.0104592
0,268.702,93729.9,0.0104601
0,268.749,93715.4,0.0104592
0,269.079,93791.3,0.010467
0,268.513,93805.4,0.0104685
0,270.938,93790.5,0.0104671
0,266.566,93763,0.0104635
0,268.906,93734,0.0104613
0,268.9,93706.2,0.0104575
0,268.321,93723.2,0.0104593
0,269.684,93690.8,0.0104566
0,272.641,93702.9,0.0104582
0,272.203,93897.4,0.0104792
0,267.896,93688.9,0.0104555
0,268.077,93774.2,0.010465
0,269.846,93754.7,0.0104637
0,272.635,93710.2,0.0104589
0,267.976,93699.6,0.0104573
0,269.081,93727,0.0104605
0,272.632,93675,0.010455
0,267.891,93699.4,0.0104572
0,267.712,93634.7,0.0104502
0,269.584,93676.3,0.010455
