rate_hits,cycles_leak,cycles_decode,total_time
1,1732.7,94304.1,0.0106876
0,1716.88,94432.6,0.0106995
1,1735.56,94373.1,0.0106955
1,1709.95,94348.7,0.01069
1,1725.16,94332.4,0.0106891
1,1726.25,94455,0.0107038
1,1715.56,94436.3,0.0107002
1,1730.37,94479.1,0.0107061
1,1715.01,94461,0.0107034
1,1713.94,94472.3,0.0107035
1,1713.36,94513.3,0.0107085
1,1720.87,94498.8,0.0107072
0,1761.71,94467.4,0.010709
1,1757.68,94481.1,0.0107102
1,1713.84,94440.4,0.0107006
1,1716.11,94432.4,0.0106999
1,1705.16,94452.6,0.010701
1,1711.13,94435.3,0.0106996
1,1727.6,94417.3,0.0106989
1,1720.21,94446.9,0.0107014
1,1708.77,94450.9,0.0107012
1,1712.11,94405.7,0.0106959
1,1728,94511.3,0.01071
1,1723.11,94547.2,0.0107134
1,1710.79,94587.5,0.0107166
1,1724.87,94499.7,0.0107077
1,1722.91,94498.5,0.0107081
1,1730.16,94499.5,0.0107083
1,1706.93,94386.3,0.0106938
1,1710.95,94400.9,0.0106958
0,1776.94,94403.8,0.0107036
1,1722.86,94449.5,0.010702
1,1712.5,94450.1,0.0107009
1,1729.95,94533.8,0.010712
1,1713.66,94541.5,0.0107118
1,1713.91,94475.1,0.0107038
0,1761.51,94537.6,0.0107161
1,1719.76,94510,0.0107088
1,1710.76,94482.3,0.0107049
1,1759.9,94485,0.0107101
1,1712.47,94514.8,0.0107087
1,1724.42,94446.7,0.0107018
1,1731.86,94405.4,0.0106981
1,1719.11,94416.8,0.0106979
1,1727.64,94459.8,0.0107036
1,1720.38,94425.2,0.010699
1,1712.73,94444.9,0.0107009
1,1734.38,94372.4,0.0106947
1,1721.79,94466,0.0107037
1,1709.69,94452.1,0.0107019
1,1718.93,94476.9,0.0107052
1,1711.1,94509,0.0107073
1,1713.13,94384.5,0.0106944
1,1712.5,94480.7,0.0107043
1,1716.75,94471.6,0.0107037
1,1714.63,94448.8,0.010701
1,1736.96,94419.2,0.0107002
1,1715.63,94404.8,0.010697
1,1717.86,94456.3,0.0107022
0,1759.15,94428.4,0.0107044
1,1718.8,94420.4,0.0106983
1,1710.27,94528.2,0.0107093
1,1725.02,94529.5,0.0107112
1,1716.54,94564.7,0.0107141
1,1773.31,94582.9,0.0107232
1,1716.63,94536.9,0.0107115
1,1718.44,94554.5,0.0107138
1,1712.29,94561.7,0.0107133
1,1712.58,94606.1,0.0107182
1,1711.55,94595.7,0.0107176
1,1717.67,94526.2,0.0107099
1,1709.82,94564.2,0.0107133
1,1709.01,94480.4,0.0107045
1,1733.1,94482.7,0.0107068
1,1709.67,94436.8,0.0107001
1,1715.91,94516.8,0.0107092
1,1714.08,94475.7,0.0107046
1,1725.29,94530.6,0.0107111
1,1719.45,94587.1,0.0107168
1,1710.96,94534.8,0.0107108
1,1712.18,94549,0.0107123
1,1736.79,94520.4,0.0107119
1,1730.24,94507.8,0.0107092
1,1719.79,94586.3,0.0107168
1,1716.36,94584.1,0.0107163
1,1716.3,94610.9,0.0107191
1,1720.08,94549.8,0.0107132
1,1722.98,94580.6,0.0107166
0,1715.05,94624.7,0.0107207
1,1743.43,94554.4,0.0107165
0.01,1802.42,94594.6,0.0107278
1,1713.7,94543.6,0.010712
1,1714.58,94572.6,0.0107154
1,1723.64,94514.4,0.0107092
1,1720.07,94490.3,0.0107061
1,1712.18,94486.6,0.0107055
1,1712.47,94507.5,0.0107078
1,1715.16,94483.5,0.0107055
1,1727.62,94565.4,0.0107161
1,1720.49,94564.7,0.0107145
0,1751.01,94565.4,0.0107187
1,1713.55,94553.5,0.0107131
1,1715.44,94542.1,0.0107121
1,1716.71,94599,0.0107186
1,1717.63,94628.2,0.0107212
1,1708.7,94576.5,0.0107144
1,1720.46,94564.3,0.0107144
1,1721.86,94564.8,0.010716
1,1712.57,94558.3,0.0107135
1,1712.01,94517.7,0.0107089
1,1714.82,94507.7,0.0107075
1,1719.19,94498.7,0.0107071
0,1759.81,94481.6,0.0107104
1,1715.7,94495.6,0.0107063
1,1712.85,94522.2,0.0107096
0,1811.76,94504.2,0.0107184
1,1705.64,94504.7,0.0107073
0,1753.57,94524.9,0.0107144
0,1771.79,94544.7,0.010718
1,1712.61,94488.1,0.0107058
1,1719.12,94463.3,0.0107037
1,1708.88,94419.6,0.0106977
1,1715.71,94463.6,0.0107027
1,1722.49,94513.4,0.010709
1,1726.85,94483,0.0107072
1,1717.74,94475.9,0.0107044
1,1715.45,94527,0.0107098
1,1725.54,94539.3,0.0107121
1,1713.38,94471.6,0.0107034
1,1713.09,94469.3,0.0107036
1,1722.51,94521.9,0.01071
1,1708.96,94400.2,0.010695
1,1732.76,94363.9,0.0106936
0,1764.97,94350.8,0.0106964
1,1713.11,94485.7,0.0107049
1,1711.38,94467.9,0.0107034
1,1715.07,94433.9,0.0107
1,1715.46,94474.7,0.0107039
1,1723.04,94516.4,0.0107094
1,1719.14,94515.4,0.0107089
1,1706.49,94518.3,0.0107084
1,1760.51,94661.2,0.0107298
1,1720.16,94591.2,0.0107173
1,1712.92,94555,0.0107131
1,1709.13,94517.3,0.010708
1,1718.24,94483.4,0.0107058
1,1718.77,94491,0.0107061
1,1711.76,94498.9,0.0107068
1,1714.24,94501.6,0.0107068
1,1735.55,94445.3,0.0107029
1,1709.13,94450.4,0.0107012
1,1718.93,94480.8,0.010705
1,1718.77,94514.2,0.0107087
1,1713.54,94500.5,0.0107073
1,1710.23,94474.5,0.010704
0,1757.05,94423.3,0.0107029
1,1703.54,94465.2,0.0107016
1,1711.94,94510.5,0.0107082
1,1734.26,94534.5,0.0107127
1,1716.12,94518.5,0.0107089
1,1720.35,94514.7,0.0107094
1,1715.91,94447.7,0.0107016
1,1734.25,94440.4,0.0107021
1,1720.72,94518.7,0.0107094
1,1712.69,94507,0.0107072
1,1720.17,94550.5,0.0107135
1,1773.7,94487.4,0.0107119
1,1710.47,94524.8,0.01071
1,1710.64,94562.4,0.0107138
1,1717.34,94511.1,0.0107082
1,1719.73,94508.6,0.0107082
1,1741.8,94567.8,0.0107171
1,1709.44,94612.8,0.0107193
1,1712.62,94617.9,0.0107195
1,1711.7,94601.9,0.0107183
1,1727.31,94579.5,0.0107176
1,1708.83,94615.8,0.0107189
1,1718.96,94577.7,0.0107158
0,1753.73,94555,0.0107179
1,1712.33,94511.2,0.0107082
1,1721.8,94601.5,0.0107187
1,1709.7,94526,0.0107096
1,1771.94,94582.1,0.0107228
1,1725.66,94618.6,0.0107218
1,1712.96,94549.9,0.0107131
1,1714.32,94542.7,0.0107114
1,1714.72,94570.1,0.0107145
1,1715.46,94511.8,0.0107087
1,1724.28,94512.4,0.0107091
0,1760.78,94471.1,0.0107093
1,1708.63,94482.4,0.010704
1,1715.17,94503.5,0.0107072
1,1757.02,94590.5,0.0107216
1,1721.13,94544.5,0.0107123
1,1708.36,94580.5,0.0107159
1,1725.27,94550.6,0.0107135
1,1705.94,94549.3,0.0107118
1,1707.85,94557.9,0.010713
1,1716.18,94569.5,0.0107145
1,1712.66,94556.1,0.0107127
1,1722.43,94499.5,0.0107082
1,1714.59,94558.5,0.0107132
1,1717.46,94511,0.0107082
1,1734.21,94520.1,0.0107116
1,1718.02,94507,0.0107078
1,1715.07,94466.3,0.0107035
1,1713.03,94425.3,0.0106988
1,1711.89,94360.7,0.0106909
1,1715.56,94374.4,0.0106928
1,1739.79,94354.1,0.0106933
1,1712.97,94420.3,0.0106988
1,1709.26,94529.5,0.01071
1,1718.01,94457.4,0.0107026
1,1717.07,94511.9,0.0107083
1,1709.65,94489.3,0.0107054
1,1734.71,94457.5,0.0107048
1,1713.38,94430.3,0.0106994
1,1762.43,94699.4,0.0107343
1,1721.92,94459,0.0107035
1,1739.35,94496.4,0.0107095
1,1712.95,94460.3,0.0107027
1,1715.16,94431.4,0.0106997
1,1745.09,94423.4,0.0107015
1,1721.91,94387,0.0106949
1,1730.14,94411.9,0.0106986
1,1716.46,94410.3,0.0106969
1,1738.94,94523.8,0.0107121
1,1716.57,94370.8,0.0106925
1,1721.96,94339.5,0.0106897
1,1711.56,94339.3,0.0106893
1,1709.44,94332.8,0.0106881
1,1716.74,94395.3,0.0106953
1,1709.3,94376.6,0.010693
1,1717.17,94424.5,0.0106985
1,1738.72,94516,0.0107117
1,1715.42,94400.8,0.0106964
1,1718.09,94521.3,0.0107094
1,1709.02,94567.2,0.0107141
1,1711.59,94530.2,0.0107103
1,1714.85,94535.9,0.0107112
1,1723.2,94507.1,0.0107089
1,1720.06,94534.5,0.0107111
1,1718.19,94519.2,0.0107092
1,1765.35,94594.1,0.0107228
1,1713.79,94560.9,0.0107134
1,1715.31,94525.5,0.0107102
1,1711.99,94529.6,0.0107097
1,1717.84,94528.4,0.0107102
1,1711.91,94508.5,0.0107073
1,1706.44,94546.2,0.0107115
1,1724.7,94566.7,0.0107151
1,1723.77,94519.4,0.0107106
1,1713.58,94507.8,0.0107079
1,1716.09,94509.4,0.0107085
0.01,1764.33,94527.5,0.010716
1,1719.94,94552.2,0.010713
1,1708.36,94544.7,0.0107116
1,1709.02,94476,0.010704
1,1711.2,94535.8,0.0107109
1,1712.15,94517.8,0.0107084
1,1724.61,94473.6,0.0107055
1,1728.3,94532.4,0.0107118
1,1722.29,94526.2,0.0107104
1,1722.13,94489.7,0.0107063
1,1717.05,94487.9,0.0107066
1,1704.75,94459.8,0.0107014
0,1710.45,94535.6,0.0107102
1,1719.99,94494.7,0.0107067
1,1774.72,94371.4,0.0106993
1,1720.75,94473.6,0.0107044
1,1712.49,94463.9,0.010703
1,1716.42,94428.6,0.0106995
1,1714.68,94423.2,0.0106988
1,1718.36,94402.5,0.0106962
1,1716.71,94407.3,0.0106965
1,1714.85,94419.6,0.0106977
1,1711.82,94527.1,0.01071
1,1732.34,94550.8,0.0107149
1,1737.18,94543,0.0107138
1,1715.2,94628.7,0.0107215
1,1719.3,94614.9,0.0107199
1,1724.9,94641.3,0.0107235
1,1714.61,94636.9,0.0107224
1,1714.5,94619,0.0107205
1,1716.54,94617,0.0107198
0,1784.81,94674.7,0.0107339
1,1726.73,94629,0.0107223
