rate_hits,cycles_leak,cycles_decode,total_time
1,1729.53,48744.4,0.00562484
1,1712.55,48648,0.00561189
1,1712.86,48671.1,0.00561513
0.88,1715.98,48668.5,0.0056142
0,1708.99,48671,0.00561411
1,1724.09,48672.3,0.00561565
1,1709.58,48671.2,0.00561408
1,1710.44,48672,0.00561475
0.83,1720.45,48673.6,0.00561533
1,1718.12,48674.2,0.00561563
0.99,1716.67,48672,0.0056147
1,1709.77,48671.9,0.00561454
0.02,1725.61,48645.6,0.00561281
0,1767.13,49060,0.00566368
0.02,1714.37,48673.8,0.00561469
0.92,1732.68,48674.1,0.00561673
0.68,1711.38,48672.3,0.00561481
1,1707.96,48661.4,0.00561275
1,1723.1,48674.3,0.00561568
1,1723.61,48669.4,0.00561501
1,1703.59,48672.8,0.00561333
0.78,1715.95,48672.7,0.00561477
1,1706.95,48670.1,0.00561407
0,1765.9,48659.7,0.00561876
0.83,1710.6,48652.4,0.00561194
0.84,1720.27,48670.2,0.00561493
1,1706.42,48671.2,0.00561406
0.04,1714.19,48670.5,0.0056144
0.01,1735.03,48837.4,0.00563525
0.77,1723.54,48654.9,0.00561368
1,1709.79,48665.9,0.00561357
0,1739.3,48671.4,0.00561721
0.91,1709.84,48662.1,0.00561292
0,1714,48666.2,0.00561437
1,1719.19,48669,0.00561463
0.74,1711.52,48670.9,0.00561408
1,1717.23,48667.9,0.00561437
0.01,1720.83,48669.4,0.00561482
0,1760.94,48671.8,0.00561966
1,1709.33,48669.8,0.00561404
0.92,1704.65,48672.1,0.00561339
1,1720.55,48672,0.00561519
0,1710.66,48669.8,0.00561429
0.99,1736.35,48864.5,0.00563879
0.88,1715.55,48674.3,0.00561495
0.99,1709.33,48669.3,0.00561424
0.01,1722.37,48656.9,0.00561358
0.02,1714.05,48670.5,0.00561423
0,1704.7,48672.2,0.0056134
1,1707.49,48670.2,0.00561365
0.69,1711.7,48672.4,0.00561439
1,1706.34,48671.6,0.00561404
0.01,1705.15,48655.2,0.0056122
1,1711.48,48670.8,0.00561403
1,1710.45,48662.7,0.00561304
0.99,1713.52,48670.3,0.00561415
1,1709.96,48673.2,0.0056143
0.85,1709.31,48666.1,0.00561349
0.95,1764.09,49698,0.00573424
1,1704.76,48671.6,0.00561338
0.01,1707.95,48669.7,0.0056135
0.99,1709.48,48670.2,0.00561426
1,1710.1,48672.5,0.00561405
0,1715.87,48669.2,0.00561435
1,1709.32,48647.8,0.00561164
1,1713.22,48673.2,0.00561454
0.75,1706.38,48673.1,0.00561368
0.74,1708,48674.6,0.00561403
1,1714.89,48671.1,0.0056144
0.01,1713.27,48667.7,0.00561436
0.84,1711.8,48669.6,0.00561398
1,1707.27,48668.8,0.00561368
0,1710.94,48651.1,0.00561169
0,1710.48,48674.4,0.00561495
0.87,1704.04,48672.8,0.0056139
0.58,1727.76,48668.5,0.00561585
0.95,1722.26,48675.3,0.0056158
1,1707.55,48672.9,0.00561429
1,1718.8,48669.9,0.0056146
0.99,1710.6,48673,0.00561416
0.02,1709.09,48672.4,0.005614
1,1710.64,48664.7,0.00561371
1,1742.8,48671.9,0.00561792
0.02,1707.43,48670,0.00561399
1,1708.12,48672.3,0.00561377
0.79,1712.81,48673.1,0.00561444
0.82,1715.47,48661.9,0.00561393
0.94,1708.16,48671.5,0.00561425
0,1715.13,48677.4,0.00561511
1,1715.35,48674.2,0.0056148
1,1719.14,48668.7,0.00561461
0,1714.74,48645.2,0.00561184
0,1767.19,48673.1,0.0056211
1,1710.44,48669.8,0.00561379
0,1721.88,48667.5,0.0056148
0.8,1722.05,48668.5,0.0056149
0.87,1714.84,48671.8,0.0056144
0,1756.95,48674.1,0.00562052
0.84,1712.59,48673.8,0.00561465
0.89,1715.79,48672.2,0.00561464
0.62,1711.75,48673,0.0056147
1,1715.76,48670.9,0.00561499
1,1726.73,48670.9,0.00561561
0,1721.7,48685.6,0.00561677
0,1703.74,48674.3,0.00561355
0.96,1714.76,48671.5,0.00561444
0.06,1710.75,48673.9,0.00561464
1,1705.47,48671.7,0.00561344
1,1721.57,48670.8,0.00561545
0,1712.01,48672,0.00561427
1,1713.53,48670.9,0.00561503
1,1713.46,48671.9,0.00561434
0.01,1707.77,48664,0.00561322
0,1757.81,48667,0.00561936
1,1716.34,48658.1,0.00561313
1,1712.48,48671.3,0.00561418
0.02,1710.55,48672.5,0.00561413
0,1715.53,48672.1,0.00561487
0.98,1714.5,48669.4,0.00561421
1,1718.24,48670.4,0.00561534
0,1722.09,48666,0.00561459
1,1719.53,48669.9,0.00561477
0.01,1713.81,48671.4,0.00561433
0.01,1712.19,48672.4,0.00561425
0.87,1718.72,48670.8,0.00561482
1,1719.4,48669.8,0.00561479
1,1724.48,48657.1,0.00561384
1,1709.15,48672.4,0.00561399
0,1757.75,48667.2,0.00561916
0.57,1717.89,48667.9,0.00561438
0.71,1724.9,48660.7,0.00561434
0.01,1713.95,48658.9,0.00561299
0.87,1727.1,48668.4,0.00561537
0.98,1718.59,48671.4,0.00561556
1,1724.34,48671.1,0.0056154
1,1717.38,48670.5,0.00561524
1,1709.28,48674.2,0.00561413
1,1718.14,48668.6,0.00561445
1,1709.96,48670.3,0.00561412
0,1716.4,48670.7,0.00561448
1,1720.99,48657,0.00561351
1,1717.01,48671.8,0.00561475
1,1710.07,48668.6,0.00561418
0,1713.75,48670.8,0.00561471
1,1710.13,48672.2,0.00561399
0.84,1718.43,48675.2,0.00561565
0.99,1709.32,48671.6,0.00561452
0.02,1741.24,49194.4,0.00567563
0.01,1709.41,48674.3,0.0056142
1,1708.63,48672.6,0.00561389
1,1721.47,48672.5,0.00561583
1,1705.92,48670.9,0.00561398
0.99,1716.22,48671.8,0.00561468
1,1718.61,48670.7,0.00561476
1,1718.46,48670.9,0.00561477
1,1716.86,48669.8,0.00561472
0.64,1713.67,48672.4,0.00561494
0.34,1712.31,48672.2,0.00561472
