rate_hits,cycles_leak,cycles_decode,total_time
1,1683.99,91867.5,0.0104104
0.98,1626.36,91972.6,0.0104156
1,1639.08,92154.9,0.0104372
1,1637.16,92023.9,0.0104224
1,1648.59,91920.5,0.0104121
1,1629.21,91894.4,0.0104077
1,1637.01,92140.7,0.0104359
0.99,1637.82,92217.8,0.010444
1,1629.83,92353.8,0.0104587
1,1651.64,92099.9,0.0104325
1,1635.11,92208.1,0.0104432
0,1676.84,92272.4,0.010455
1,1637.83,91748.5,0.0103924
1,1624.63,91726.7,0.0103885
1,1627.39,92071.8,0.0104271
1,1655.81,92072.3,0.0104298
0.98,1631.14,92132.3,0.0104349
1,1627.59,91788.7,0.0103952
0,1687.38,92196.4,0.0104481
1,1630.28,91860.1,0.0104034
1,1625.05,91823,0.0103987
1,1631.83,91799.7,0.0103968
1,1621.78,91940.4,0.0104119
1,1638.13,92049.7,0.0104254
1,1641.34,91817.5,0.0103998
1,1626.59,91673.5,0.0103823
1,1684.41,92054,0.0104317
1,1617.04,92121.5,0.0104316
0,1641.91,91942,0.0104138
0.99,1621.97,92128.8,0.0104329
1,1641.26,92009.6,0.0104212
1,1614.24,91650.5,0.0103789
1,1637.2,91953.6,0.0104146
1,1629.5,91776.7,0.0103946
1,1631.23,91701.5,0.0103859
1,1647.58,91820.5,0.010401
1,1641.82,91935.4,0.0104131
1,1628.12,91734.7,0.0103898
1,1635.98,92045.2,0.0104246
1,1617.14,91747.4,0.0103905
1,1621.19,91799.2,0.0103962
1,1620.82,91757.8,0.0103915
1,1620.6,91645.5,0.0103793
1,1621.21,91929,0.0104101
1,1647.66,91735.1,0.0103924
1,1633.75,91839.5,0.0104027
0.01,1675.06,92112.4,0.010437
1,1632.17,91689.6,0.0103852
1,1647.93,91807.5,0.0103995
1,1628.17,92051,0.0104244
1,1619.71,91974.5,0.0104154
1,1625.79,91786.3,0.0103953
1,1656.08,91771.4,0.010397
1,1641.8,91928.8,0.0104124
1,1633.11,91879.6,0.0104059
0,1679.83,91743.1,0.0103965
1,1620.3,92026,0.0104212
1,1631.85,91811.8,0.0103982
1,1635.88,91842.1,0.010402
1,1642.14,91985,0.0104186
1,1643.7,91859.4,0.0104048
1,1655.96,91883.9,0.0104089
1,1622.59,92119.4,0.0104324
1,1635.38,92052.3,0.010426
0,1679.92,91934.6,0.0104176
1,1627.77,92255.8,0.0104476
1,1629.44,92098.4,0.0104298
1,1627.42,91854.3,0.0104029
1,1633.56,91892.9,0.0104074
1,1630.66,92216.2,0.010443
1,1656.99,92202.1,0.0104444
1,1658.99,92266.5,0.0104523
1,1633.59,92338.3,0.0104569
1,1635.39,92157.4,0.010437
1,1634.24,91930.3,0.0104118
1,1636.08,91962.5,0.0104154
1,1625.18,91879.8,0.0104055
1,1624.69,91950.9,0.0104129
0,1716.68,92512.5,0.0104868
1,1626.94,92069.3,0.0104268
1,1622.72,92377.2,0.01046
1,1630.76,92206.2,0.0104425
1,1634.47,91817.9,0.0103993
