rate_hits,cycles_leak,cycles_decode,total_time
1,263.763,92019.2,0.01027
1,260.482,91774.6,0.0102423
1,261.623,91388.2,0.0101997
1,276.61,91929.4,0.0102613
1,256.426,91921.5,0.0102578
1,269.842,91805.1,0.0102463
1,259.142,91980,0.0102646
1,264.013,92175.4,0.0102874
1,267.356,91620.8,0.010226
1,264.608,91579.9,0.0102208
1,268.666,91934,0.010261
1,257.918,91820.8,0.0102469
1,256.698,91825.6,0.0102476
1,267.8,91927.6,0.0102597
1,263.314,91831.9,0.0102486
1,262.091,92203.4,0.0102898
1,264.568,91868,0.0102533
1,267.896,91755.1,0.0102409
1,265.176,91626.8,0.0102264
1,257.438,91919.5,0.0102585
1,262.602,91862.8,0.0102525
1,267.317,91961.2,0.0102639
0,263.853,91770.8,0.0102419
1,260.966,91802.6,0.0102451
1,265.565,91697.9,0.0102344
1,260.769,91630,0.0102263
1,265.831,91943.9,0.0102619
1,277.098,91670.9,0.0102322
1,266.572,91723.2,0.0102369
1,265.691,92005.2,0.0102682
1,261.472,91862.8,0.0102523
1,262.963,91799.4,0.010245
1,261.777,92064.4,0.0102743
1,266.598,92019.3,0.0102704
1,266.342,91680.3,0.0102321
1,265.104,91861.3,0.0102521
1,264.531,92015.7,0.0102696
1,263.864,92095.9,0.0102786
1,262.802,92197.8,0.0102893
1,266.8,91708.6,0.0102358
1,255.762,91683.8,0.0102313
1,257.045,91953.4,0.0102619
1,264.231,91755.4,0.0102403
1,262.971,91887.3,0.0102548
1,264.026,91807.4,0.010246
1,261.163,92003.6,0.0102674
1,277.964,91979.1,0.0102671
1,261.878,91904.3,0.010257
1,269.33,91630.7,0.0102273
1,266.881,91932.3,0.010261
1,268.596,91881.5,0.0102547
1,257.538,91790,0.0102437
1,261.732,92038.1,0.0102714
1,262.936,91715.2,0.0102356
1,258.271,91653.7,0.0102288
1,262.533,91562.3,0.0102191
1,264.901,91559.6,0.0102185
1,261.32,91756.8,0.0102406
1,263.006,91690.1,0.0102328
1,260.623,92147.5,0.010284
1,261.797,92095.3,0.0102777
1,258.021,92003.7,0.0102671
1,260.033,91956.5,0.0102621
1,263.423,91842.8,0.0102499
1,265.097,92076.5,0.0102766
1,265.618,91929.7,0.0102603
1,263.754,92123.6,0.0102811
1,266.812,91847.1,0.0102511
1,262.577,91915.5,0.0102583
1,264.598,91876.8,0.0102538
1,261.516,91977.9,0.0102651
1,262.253,91815.4,0.0102467
1,259.764,91850.1,0.010251
1,263.901,91738.7,0.0102383
1,259.719,91883.1,0.0102543
1,269.257,92193.5,0.0102894
1,259.836,91675.4,0.0102308
1,263.587,91862.4,0.0102525
1,263.599,91761.7,0.0102413
1,261.306,91934.9,0.0102603
1,257.904,92121.4,0.0102802
1,256.97,91958.2,0.010262
1,261.425,91695.7,0.0102338
1,261.84,92050,0.0102732
1,262.915,91946.2,0.0102612
1,263.798,91734,0.0102384
1,265.632,92211.5,0.0102915
1,262.471,92022.1,0.0102697
1,286.697,91938.7,0.0102629
1,263.971,91665.9,0.0102307
1,262.605,91924,0.0102589
1,259.559,91819.2,0.0102474
1,265.344,92204.1,0.0102907
1,256.539,91754.5,0.0102393
